day,ntweets
2019-06-01,67896
2019-06-02,69157
2019-06-03,77488
2019-06-04,80447
2019-06-05,78612
2019-06-06,79972
2019-06-07,76489
2019-06-08,60781
2019-06-09,64583
2019-06-10,72097
2019-06-11,77302
2019-06-12,81720
2019-06-13,82894
2019-06-14,78073
2019-06-15,62604
2019-06-16,67767
2019-06-17,73066
2019-06-18,82715
2019-06-19,78635
2019-06-20,79866
2019-06-21,87578
2019-06-22,61924
2019-06-23,68382
2019-06-24,76090
2019-06-25,77970
2019-06-26,75190
2019-06-27,71664
2019-06-28,67774
2019-06-29,57457
2019-06-30,60880
2019-07-01,69161
2019-07-02,88136
2019-07-03,77689
2019-07-04,79004
2019-07-05,71797
2019-07-06,61069
2019-07-07,60990
2019-07-08,70232
2019-07-09,77564
2019-07-10,78518
2019-07-11,71683
2019-07-12,59740
2019-07-13,60032
2019-07-14,75893
2019-07-15,69062
2019-07-16,71376
2019-07-17,76664
2019-07-18,79847
2019-07-19,73985
2019-07-20,59212
2019-07-21,61951
2019-07-22,71068
2019-07-23,83331
2019-07-24,82343
2019-07-25,84022
2019-07-26,75429
2019-07-27,66380
2019-07-28,65104
2019-07-29,71683
2019-07-30,75931
2019-07-31,75114
2019-08-01,76322
2019-08-02,72705
2019-08-03,63820
2019-08-04,72154
2019-08-05,76417
2019-08-06,78373
2019-08-07,80303
2019-08-08,85048
2019-08-09,78787
2019-08-10,69343
2019-08-11,68310
2019-08-12,70775
2019-08-13,73188
2019-08-14,79798
2019-08-15,80698
2019-08-16,74962
2019-08-17,65605
2019-08-18,67949
2019-08-19,73362
2019-08-20,73887
2019-08-21,75228
2019-08-22,73480
2019-08-23,71376
2019-08-24,65662
2019-08-25,63277
2019-08-26,62616
2019-08-27,75099
2019-08-28,88915
2019-08-29,80550
2019-08-30,75402
2019-08-31,71938
2019-09-01,73021
2019-09-02,80630
2019-09-03,86826
2019-09-04,83034
2019-09-05,82085
2019-09-06,78673
2019-09-07,69305
2019-09-08,67345
2019-09-09,77222
2019-09-10,79574
2019-09-11,77777
2019-09-12,77336
2019-09-13,71254
2019-09-14,64336
2019-09-15,67083
2019-09-16,74681
2019-09-17,77066
2019-09-18,79646
2019-09-19,74422
2019-09-20,70863
2019-09-21,64640
2019-09-22,74039
2019-09-23,81313
2019-09-24,91228
2019-09-25,90693
2019-09-26,91521
2019-09-27,82366
2019-09-28,70643
2019-09-29,71269
2019-09-30,76861
2019-10-01,79581
2019-10-02,70316
2019-10-03,75440
2019-10-04,72075
2019-10-05,67277
2019-10-06,68682
2019-10-07,77161
2019-10-08,80326
2019-10-09,76895
2019-10-10,92607
2019-10-11,76451
2019-10-12,64500
2019-10-13,66411
2019-10-14,75725
2019-10-15,74236
2019-10-16,74848
2019-10-17,78742
2019-10-18,80041
2019-10-19,77948
2019-10-20,73207
2019-10-21,75562
2019-10-22,79972
2019-10-23,76671
2019-10-24,82043
2019-10-25,78043
2019-10-26,71136
2019-10-27,71839
2019-10-28,73940
2019-10-29,81431
2019-10-30,85367
2019-10-31,97690
2019-11-01,78084
2019-11-02,77412
2019-11-03,74886
2019-11-04,77078
2019-11-05,85025
2019-11-06,83528
2019-11-07,77948
2019-11-08,73723
2019-11-09,69313
2019-11-10,67983
2019-11-11,74901
2019-11-12,75539
2019-11-13,78366
2019-11-14,79068
2019-11-15,74871
2019-11-16,64743
2019-11-17,66164
2019-11-18,67980
2019-11-19,82563
2019-11-20,77959
2019-11-21,77910
2019-11-22,79368
2019-11-23,72390
2019-11-24,72607
2019-11-25,79570
2019-11-26,84102
2019-11-27,87471
2019-11-28,82647
2019-11-29,92843
2019-11-30,88896
2019-12-01,84831
2019-12-02,79361
2019-12-03,78920
2019-12-04,82031
2019-12-05,84235
2019-12-06,84068
2019-12-07,74221
2019-12-08,71957
2019-12-09,86605
2019-12-10,88797
2019-12-11,94720
2019-12-12,121000
2019-12-13,118436
2019-12-14,75471
2019-12-15,75380
2019-12-16,72417
2019-12-17,72793
2019-12-18,75437
2019-12-19,73287
2019-12-20,69302
2019-12-21,61784
2019-12-22,64374
2019-12-23,63106
2019-12-24,55007
2019-12-25,36081
2019-12-26,52507
2019-12-27,56659
2019-12-28,59626
2019-12-29,67607
2019-12-30,65655
2019-12-31,61879
2020-01-01,63835
2020-01-02,67353
2020-01-03,77469
2020-01-04,71505
2020-01-05,80185
2020-01-06,75839
2020-01-07,77078
2020-01-08,80383
2020-01-09,78958
2020-01-10,76660
2020-01-11,70855
2020-01-12,72257
2020-01-13,76098
2020-01-14,79273
2020-01-15,78214
2020-01-16,76367
2020-01-17,76261
2020-01-18,68204
2020-01-19,70958
2020-01-20,73465
2020-01-21,79186
2020-01-22,81397
2020-01-23,81287
2020-01-24,76037
2020-01-25,63998
2020-01-26,69963
2020-01-27,73203
2020-01-28,81321
2020-01-29,87654
2020-01-30,85823
2020-01-31,92410
2020-02-01,78305
2020-02-02,79577
2020-02-03,87243
2020-02-04,80793
2020-02-05,76781
2020-02-06,78126
2020-02-07,70829
2020-02-08,66490
2020-02-09,76690
2020-02-10,74088
2020-02-11,76846
2020-02-12,78195
2020-02-13,76679
2020-02-14,72257
2020-02-15,80109
2020-02-16,77177
2020-02-17,78875
2020-02-18,77385
2020-02-19,80698
2020-02-20,80333
2020-02-21,75847
2020-02-22,72614
2020-02-23,71927
2020-02-24,77154
2020-02-25,77959
2020-02-26,76489
2020-02-27,78563
2020-02-28,81370
2020-02-29,74726
2020-03-01,72724
2020-03-02,78544
2020-03-03,86362
2020-03-04,86035
2020-03-05,86993
2020-03-06,81849
2020-03-07,84075
2020-03-08,81439
2020-03-09,87437
2020-03-10,91304
2020-03-11,97284
2020-03-12,120130
2020-03-13,124616
2020-03-14,116536
2020-03-15,129160
2020-03-16,150201
2020-03-17,149920
2020-03-18,153214
2020-03-19,154319
2020-03-20,156302
2020-03-21,125403
2020-03-22,132267
2020-03-23,151007
2020-03-24,135029
2020-03-25,130106
2020-03-26,126520
2020-03-27,121817
2020-03-28,104323
2020-03-29,102959
2020-03-30,110333
2020-03-31,108076
2020-04-01,113117
2020-04-02,114732
2020-04-03,108266
2020-04-04,101033
2020-04-05,108904
2020-04-06,113144
2020-04-07,106872
2020-04-08,109060
2020-04-09,111803
2020-04-10,100220
2020-04-11,97420
2020-04-12,94484
2020-04-13,99126
2020-04-14,101284
2020-04-15,101774
2020-04-16,107548
2020-04-17,103381
2020-04-18,94457
2020-04-19,92269
2020-04-20,99571
2020-04-21,97014
2020-04-22,100832
2020-04-23,106321
2020-04-24,101443
2020-04-25,87509
2020-04-26,88748
2020-04-27,99031
2020-04-28,105227
2020-04-29,99301
2020-04-30,105455
2020-05-01,103180
2020-05-02,84801
2020-05-03,93356
2020-05-04,94932
2020-05-05,99700
2020-05-06,99863
2020-05-07,108505
2020-05-08,95833
2020-05-09,91642
2020-05-10,130793
2020-05-11,121239
2020-05-12,108844
2020-05-13,109451
2020-05-14,103878
2020-05-15,106143
2020-05-16,91639
2020-05-17,87996
2020-05-18,99707
2020-05-19,101071
2020-05-20,103073
2020-05-21,103077
2020-05-22,104433
2020-05-23,116247
2020-05-24,122721
2020-05-25,131994
2020-05-26,118747
2020-05-27,116460
2020-05-28,113972
2020-05-29,104676
2020-05-30,94324
2020-05-31,105949
2020-06-01,105223
2020-06-02,107051
2020-06-03,114515
2020-06-04,106530
2020-06-05,105064
2020-06-06,102887
2020-06-07,105155
2020-06-08,101633
2020-06-09,106051
2020-06-10,110758
2020-06-11,108524
2020-06-12,105922
2020-06-13,103878
2020-06-14,90997
2020-06-15,104266
2020-06-16,111681
2020-06-17,110830
2020-06-18,104923
2020-06-19,104513
2020-06-20,90320
2020-06-21,93945
2020-06-22,99669
2020-06-23,106929
2020-06-24,101136
2020-06-25,110014
2020-06-26,106112
2020-06-27,94932
2020-06-28,91460
2020-06-29,99700
2020-06-30,101523
2020-07-01,106097
2020-07-02,103499
2020-07-03,103468
2020-07-04,95175
2020-07-05,89994
2020-07-06,95407
2020-07-07,101045
2020-07-08,106378
2020-07-09,101208
2020-07-10,92600
2020-07-11,81215
2020-07-12,84839
2020-07-13,98822
2020-07-14,104000
2020-07-15,101413
2020-07-16,102879
2020-07-17,93356
2020-07-18,79353
2020-07-19,82544
2020-07-20,87752
2020-07-21,92702
2020-07-22,102055
2020-07-23,95536
2020-07-24,96076
2020-07-25,84223
2020-07-26,90754
2020-07-27,84535
2020-07-28,82955
2020-07-29,86187
2020-07-30,96049
2020-07-31,92638
2020-08-01,83992
2020-08-02,80797
2020-08-03,84679
2020-08-04,97531
2020-08-05,90218
2020-08-06,91323
2020-08-07,90567
2020-08-08,75323
2020-08-09,81648
2020-08-10,94533
2020-08-11,102534
2020-08-12,99449
2020-08-13,100984
2020-08-14,98522
2020-08-15,82062
2020-08-16,87517
2020-08-17,94176
2020-08-18,88372
2020-08-19,94890
2020-08-20,91019
2020-08-21,92235
2020-08-22,81279
2020-08-23,84220
2020-08-24,87224
2020-08-25,100334
2020-08-26,93857
2020-08-27,94180
2020-08-28,91718
2020-08-29,79228
2020-08-30,79889
2020-08-31,78073
2020-09-01,86647
2020-09-02,90754
2020-09-03,90666
2020-09-04,91187
2020-09-05,81241
2020-09-06,83855
2020-09-07,91358
2020-09-08,98298
2020-09-09,100881
2020-09-10,99723
2020-09-11,95893
2020-09-12,89249
2020-09-13,88201
2020-09-14,96269
2020-09-15,95175
2020-09-16,98408
2020-09-17,95529
2020-09-18,92949
2020-09-19,89956
2020-09-20,88622
2020-09-21,95886
2020-09-22,111191
2020-09-23,101565
2020-09-24,96004
2020-09-25,94180
2020-09-26,91122
2020-09-27,89933
2020-09-28,90514
2020-09-29,92201
2020-09-30,99597
2020-10-01,96406
2020-10-02,96843
2020-10-03,94347
2020-10-04,108285
2020-10-05,100972
2020-10-06,98701
2020-10-07,93048
2020-10-08,94720
2020-10-09,94013
2020-10-10,92178
2020-10-11,82601
2020-10-12,95381
2020-10-13,94176
2020-10-14,97443
2020-10-15,90423
2020-10-16,96307
2020-10-17,95202
2020-10-18,87942
2020-10-19,92926
2020-10-20,103464
2020-10-21,110618
2020-10-22,107689
2020-10-23,104927
2020-10-24,99840
2020-10-25,91661
2020-10-26,91673
2020-10-27,97679
2020-10-28,99833
2020-10-29,108604
2020-10-30,103939
2020-10-31,139219
2020-11-01,110181
2020-11-02,104748
2020-11-03,115317
2020-11-04,120643
2020-11-05,114208
