day,ntweets
2019-06-01,146
2019-06-02,123
2019-06-03,121
2019-06-04,130
2019-06-05,116
2019-06-06,132
2019-06-07,118
2019-06-08,106
2019-06-09,132
2019-06-10,115
2019-06-11,157
2019-06-12,134
2019-06-13,113
2019-06-14,131
2019-06-15,118
2019-06-16,131
2019-06-17,123
2019-06-18,120
2019-06-19,127
2019-06-20,116
2019-06-21,107
2019-06-22,125
2019-06-23,141
2019-06-24,104
2019-06-25,113
2019-06-26,115
2019-06-27,98
2019-06-28,101
2019-06-29,88
2019-06-30,89
2019-07-01,118
2019-07-02,129
2019-07-03,142
2019-07-04,107
2019-07-05,103
2019-07-06,113
2019-07-07,109
2019-07-08,115
2019-07-09,126
2019-07-10,106
2019-07-11,106
2019-07-12,122
2019-07-13,124
2019-07-14,126
2019-07-15,107
2019-07-16,138
2019-07-17,133
2019-07-18,133
2019-07-19,120
2019-07-20,107
2019-07-21,118
2019-07-22,111
2019-07-23,116
2019-07-24,120
2019-07-25,113
2019-07-26,121
2019-07-27,113
2019-07-28,113
2019-07-29,119
2019-07-30,136
2019-07-31,121
2019-08-01,101
2019-08-02,125
2019-08-03,103
2019-08-04,133
2019-08-05,117
2019-08-06,124
2019-08-07,129
2019-08-08,108
2019-08-09,128
2019-08-10,119
2019-08-11,119
2019-08-12,122
2019-08-13,114
2019-08-14,117
2019-08-15,115
2019-08-16,122
2019-08-17,105
2019-08-18,108
2019-08-19,101
2019-08-20,94
2019-08-21,108
2019-08-22,106
2019-08-23,94
2019-08-24,107
2019-08-25,90
2019-08-26,104
2019-08-27,109
2019-08-28,114
2019-08-29,119
2019-08-30,100
2019-08-31,110
2019-09-01,111
2019-09-02,105
2019-09-03,108
2019-09-04,120
2019-09-05,102
2019-09-06,135
2019-09-07,119
2019-09-08,93
2019-09-09,132
2019-09-10,97
2019-09-11,101
2019-09-12,112
2019-09-13,101
2019-09-14,89
2019-09-15,94
2019-09-16,89
2019-09-17,113
2019-09-18,97
2019-09-19,83
2019-09-20,96
2019-09-21,109
2019-09-22,111
2019-09-23,97
2019-09-24,95
2019-09-25,103
2019-09-26,81
2019-09-27,94
2019-09-28,90
2019-09-29,94
2019-09-30,92
