day,ntweets
2019-06-01,11
2019-06-02,12
2019-06-03,6
2019-06-04,3
2019-06-05,6
2019-06-06,8
2019-06-07,7
2019-06-08,8
2019-06-09,12
2019-06-10,2
2019-06-11,14
2019-06-12,8
2019-06-13,6
2019-06-14,11
2019-06-15,6
2019-06-16,4
2019-06-17,10
2019-06-18,10
2019-06-19,4
2019-06-20,3
2019-06-21,6
2019-06-22,5
2019-06-23,5
2019-06-24,11
2019-06-25,4
2019-06-26,6
2019-06-27,4
2019-06-28,8
2019-06-29,1
2019-06-30,14
2019-07-01,11
2019-07-02,8
2019-07-03,8
2019-07-04,7
2019-07-05,11
2019-07-06,6
2019-07-07,10
2019-07-08,12
2019-07-09,8
2019-07-10,7
2019-07-11,12
2019-07-12,3
2019-07-13,9
2019-07-14,11
2019-07-15,11
2019-07-16,11
2019-07-17,8
2019-07-18,7
2019-07-19,11
2019-07-20,8
2019-07-21,4
2019-07-22,7
2019-07-23,6
2019-07-24,7
2019-07-25,7
2019-07-26,8
2019-07-27,12
2019-07-28,4
2019-07-29,6
2019-07-30,7
2019-07-31,7
2019-08-01,1
2019-08-02,9
2019-08-03,3
2019-08-04,15
2019-08-05,3
2019-08-06,10
2019-08-07,8
2019-08-08,11
2019-08-09,9
2019-08-10,9
2019-08-11,7
2019-08-12,10
2019-08-13,6
2019-08-14,6
2019-08-15,16
2019-08-16,8
2019-08-17,9
2019-08-18,11
2019-08-19,8
2019-08-20,9
2019-08-21,8
2019-08-22,4
2019-08-23,4
2019-08-24,7
2019-08-25,6
2019-08-26,6
2019-08-27,4
2019-08-28,6
2019-08-29,13
2019-08-30,3
2019-08-31,9
2019-09-01,8
2019-09-02,13
2019-09-03,7
2019-09-04,7
2019-09-05,8
2019-09-06,8
2019-09-07,6
2019-09-08,6
2019-09-09,5
2019-09-10,14
2019-09-11,7
2019-09-12,5
2019-09-13,8
2019-09-14,5
2019-09-15,5
2019-09-16,10
2019-09-17,8
2019-09-18,6
2019-09-19,8
2019-09-20,8
2019-09-21,8
2019-09-22,6
2019-09-23,7
2019-09-24,4
2019-09-25,9
2019-09-26,10
2019-09-27,11
2019-09-28,10
2019-09-29,7
2019-09-30,13
2019-10-01,10
2019-10-02,6
2019-10-03,5
2019-10-04,5
2019-10-05,4
2019-10-06,2
2019-10-07,6
2019-10-08,9
2019-10-09,11
2019-10-10,5
2019-10-11,11
2019-10-12,12
2019-10-13,4
2019-10-14,3
2019-10-15,3
2019-10-16,10
2019-10-17,11
2019-10-18,9
2019-10-19,10
2019-10-20,9
2019-10-21,12
2019-10-22,10
2019-10-23,6
2019-10-24,11
2019-10-25,4
2019-10-26,5
2019-10-27,8
2019-10-28,7
2019-10-29,8
2019-10-30,7
2019-10-31,8
2019-11-01,7
2019-11-02,9
2019-11-03,9
2019-11-04,10
2019-11-05,11
2019-11-06,8
2019-11-07,6
2019-11-08,6
2019-11-09,11
2019-11-10,8
2019-11-11,11
2019-11-12,8
2019-11-13,10
2019-11-14,5
2019-11-15,7
2019-11-16,3
2019-11-17,9
2019-11-18,6
2019-11-19,6
2019-11-20,8
2019-11-21,10
2019-11-22,17
2019-11-23,7
2019-11-24,7
2019-11-25,10
2019-11-26,7
2019-11-27,5
2019-11-28,7
2019-11-29,5
2019-11-30,7
2019-12-01,12
2019-12-02,9
2019-12-03,10
2019-12-04,4
2019-12-05,10
2019-12-06,6
2019-12-07,8
2019-12-08,4
2019-12-09,4
2019-12-10,8
2019-12-11,4
2019-12-12,8
2019-12-13,9
2019-12-14,5
2019-12-15,7
2019-12-16,9
2019-12-17,8
2019-12-18,11
2019-12-19,12
2019-12-20,8
2019-12-21,8
2019-12-22,4
2019-12-23,9
2019-12-24,8
2019-12-25,11
2019-12-26,16
2019-12-27,9
2019-12-28,5
2019-12-29,10
2019-12-30,9
2019-12-31,13
2020-01-01,14
2020-01-02,6
2020-01-03,7
2020-01-04,16
2020-01-05,9
2020-01-06,7
2020-01-07,2
2020-01-08,6
2020-01-09,8
2020-01-10,2
2020-01-11,8
2020-01-12,9
2020-01-13,4
2020-01-14,10
2020-01-15,5
2020-01-16,9
2020-01-17,7
2020-01-18,6
2020-01-19,9
2020-01-20,5
2020-01-21,10
2020-01-22,3
2020-01-23,10
2020-01-24,5
2020-01-25,6
2020-01-26,8
2020-01-27,3
2020-01-28,6
2020-01-29,10
2020-01-30,7
2020-01-31,11
2020-02-01,10
2020-02-02,7
2020-02-03,9
2020-02-04,7
2020-02-05,9
2020-02-06,4
2020-02-07,9
2020-02-08,9
2020-02-09,6
2020-02-10,10
2020-02-11,4
2020-02-12,6
2020-02-13,4
2020-02-14,2
2020-02-15,14
2020-02-16,11
2020-02-17,11
2020-02-18,13
2020-02-19,12
2020-02-20,1
2020-02-21,9
2020-02-22,6
2020-02-23,11
2020-02-24,10
2020-02-25,6
2020-02-26,3
2020-02-27,8
2020-02-28,8
2020-02-29,4
2020-03-01,15
2020-03-02,4
2020-03-03,4
2020-03-04,2
2020-03-05,9
2020-03-06,8
2020-03-07,10
2020-03-08,5
2020-03-09,9
2020-03-10,7
2020-03-11,7
2020-03-12,7
2020-03-13,10
2020-03-14,10
2020-03-15,5
2020-03-16,3
2020-03-17,9
2020-03-18,6
2020-03-19,11
2020-03-20,5
2020-03-21,4
2020-03-22,11
2020-03-23,8
2020-03-24,1
2020-03-25,11
2020-03-26,9
2020-03-27,13
2020-03-28,6
2020-03-29,7
2020-03-30,6
2020-03-31,14
2020-04-01,6
2020-04-02,11
2020-04-03,6
2020-04-04,8
2020-04-05,14
2020-04-06,11
2020-04-07,8
2020-04-08,17
2020-04-09,10
2020-04-10,8
2020-04-11,10
2020-04-12,7
2020-04-13,17
2020-04-14,4
2020-04-15,11
2020-04-16,8
2020-04-17,15
2020-04-18,12
2020-04-19,11
2020-04-20,7
2020-04-21,11
2020-04-22,12
2020-04-23,10
2020-04-24,12
2020-04-25,5
2020-04-26,8
2020-04-27,12
2020-04-28,9
2020-04-29,12
2020-04-30,9
2020-05-01,8
2020-05-02,12
2020-05-03,11
2020-05-04,8
2020-05-05,8
2020-05-06,5
2020-05-07,10
2020-05-08,8
2020-05-09,11
2020-05-10,5
2020-05-11,10
2020-05-12,11
2020-05-13,14
2020-05-14,9
2020-05-15,12
2020-05-16,20
2020-05-17,13
2020-05-18,4
2020-05-19,8
2020-05-20,8
2020-05-21,16
2020-05-22,17
2020-05-23,12
2020-05-24,23
2020-05-25,14
