day,ntweets
2019-06-01,13
2019-06-02,23
2019-06-03,21
2019-06-04,21
2019-06-05,18
2019-06-06,18
2019-06-07,17
2019-06-08,20
2019-06-09,18
2019-06-10,16
2019-06-11,27
2019-06-12,24
2019-06-13,16
2019-06-14,25
2019-06-15,14
2019-06-16,19
2019-06-17,21
2019-06-18,34
2019-06-19,19
2019-06-20,21
2019-06-21,27
2019-06-22,17
2019-06-23,18
2019-06-24,20
2019-06-25,24
2019-06-26,22
2019-06-27,34
2019-06-28,17
2019-06-29,12
2019-06-30,18
2019-07-01,17
2019-07-02,35
2019-07-03,22
2019-07-04,26
2019-07-05,17
2019-07-06,15
2019-07-07,20
2019-07-08,16
2019-07-09,24
2019-07-10,25
2019-07-11,23
2019-07-12,24
2019-07-13,9
2019-07-14,19
2019-07-15,26
2019-07-16,25
2019-07-17,19
2019-07-18,17
2019-07-19,17
2019-07-20,14
2019-07-21,16
2019-07-22,18
2019-07-23,19
2019-07-24,21
2019-07-25,18
2019-07-26,14
2019-07-27,18
2019-07-28,20
2019-07-29,26
2019-07-30,23
2019-07-31,20
2019-08-01,22
2019-08-02,18
2019-08-03,22
2019-08-04,15
2019-08-05,20
2019-08-06,24
2019-08-07,31
2019-08-08,26
2019-08-09,19
2019-08-10,16
2019-08-11,14
2019-08-12,17
2019-08-13,20
2019-08-14,21
2019-08-15,28
2019-08-16,27
2019-08-17,23
2019-08-18,10
2019-08-19,19
2019-08-20,18
2019-08-21,26
2019-08-22,13
2019-08-23,17
2019-08-24,18
2019-08-25,22
2019-08-26,12
2019-08-27,21
2019-08-28,26
2019-08-29,32
2019-08-30,8
2019-08-31,31
2019-09-01,19
2019-09-02,13
2019-09-03,16
2019-09-04,24
2019-09-05,22
2019-09-06,15
2019-09-07,16
2019-09-08,18
2019-09-09,13
2019-09-10,21
2019-09-11,36
2019-09-12,14
2019-09-13,17
2019-09-14,24
2019-09-15,16
2019-09-16,22
2019-09-17,27
2019-09-18,17
2019-09-19,20
2019-09-20,22
2019-09-21,22
2019-09-22,28
2019-09-23,16
2019-09-24,22
2019-09-25,29
2019-09-26,29
2019-09-27,21
2019-09-28,27
2019-09-29,20
2019-09-30,31
2019-10-01,26
2019-10-02,22
2019-10-03,20
2019-10-04,18
2019-10-05,14
2019-10-06,22
2019-10-07,20
2019-10-08,21
2019-10-09,20
2019-10-10,20
2019-10-11,19
2019-10-12,23
2019-10-13,18
2019-10-14,21
2019-10-15,18
2019-10-16,23
2019-10-17,21
2019-10-18,30
2019-10-19,32
2019-10-20,25
2019-10-21,22
2019-10-22,23
2019-10-23,30
2019-10-24,27
2019-10-25,22
2019-10-26,19
2019-10-27,19
2019-10-28,20
2019-10-29,27
2019-10-30,24
2019-10-31,17
2019-11-01,33
2019-11-02,21
2019-11-03,18
2019-11-04,20
2019-11-05,28
2019-11-06,28
2019-11-07,21
2019-11-08,17
2019-11-09,21
2019-11-10,17
2019-11-11,20
2019-11-12,18
2019-11-13,26
2019-11-14,39
2019-11-15,29
2019-11-16,24
2019-11-17,20
2019-11-18,24
2019-11-19,30
2019-11-20,19
2019-11-21,23
2019-11-22,15
2019-11-23,25
2019-11-24,16
2019-11-25,28
2019-11-26,28
2019-11-27,29
2019-11-28,29
2019-11-29,33
2019-11-30,16
2019-12-01,15
2019-12-02,16
2019-12-03,17
2019-12-04,15
2019-12-05,30
2019-12-06,24
2019-12-07,23
2019-12-08,16
2019-12-09,35
2019-12-10,35
2019-12-11,28
2019-12-12,30
2019-12-13,56
2019-12-14,25
2019-12-15,24
2019-12-16,22
2019-12-17,22
2019-12-18,19
2019-12-19,13
2019-12-20,16
2019-12-21,15
2019-12-22,16
2019-12-23,18
2019-12-24,7
2019-12-25,3
2019-12-26,9
