day,ntweets
2019-06-01,1234
2019-06-02,1058
2019-06-03,1019
2019-06-04,989
2019-06-05,978
2019-06-06,1018
2019-06-07,1163
2019-06-08,908
2019-06-09,842
2019-06-10,941
2019-06-11,1158
2019-06-12,1003
2019-06-13,1108
2019-06-14,1082
2019-06-15,798
2019-06-16,861
2019-06-17,903
2019-06-18,921
2019-06-19,976
2019-06-20,992
2019-06-21,1022
2019-06-22,748
2019-06-23,765
2019-06-24,867
2019-06-25,882
2019-06-26,951
2019-06-27,1027
2019-06-28,892
2019-06-29,832
2019-06-30,883
2019-07-01,925
2019-07-02,1013
2019-07-03,964
2019-07-04,1005
2019-07-05,954
2019-07-06,787
2019-07-07,793
2019-07-08,906
2019-07-09,978
2019-07-10,1018
2019-07-11,857
2019-07-12,806
2019-07-13,741
2019-07-14,962
2019-07-15,979
2019-07-16,917
2019-07-17,906
2019-07-18,916
2019-07-19,1044
2019-07-20,780
2019-07-21,926
2019-07-22,895
2019-07-23,965
2019-07-24,930
2019-07-25,1005
2019-07-26,990
2019-07-27,893
2019-07-28,873
2019-07-29,1217
2019-07-30,951
2019-07-31,949
2019-08-01,1077
2019-08-02,1034
2019-08-03,778
2019-08-04,845
2019-08-05,984
2019-08-06,975
2019-08-07,1052
2019-08-08,1262
2019-08-09,1124
2019-08-10,873
2019-08-11,979
2019-08-12,930
2019-08-13,915
2019-08-14,982
2019-08-15,957
2019-08-16,964
2019-08-17,813
2019-08-18,768
2019-08-19,883
2019-08-20,955
2019-08-21,927
2019-08-22,1148
2019-08-23,985
2019-08-24,872
2019-08-25,836
2019-08-26,793
2019-08-27,1017
2019-08-28,974
2019-08-29,1014
2019-08-30,936
2019-08-31,923
2019-09-01,937
2019-09-02,940
2019-09-03,891
2019-09-04,995
2019-09-05,963
2019-09-06,985
2019-09-07,879
2019-09-08,838
2019-09-09,937
2019-09-10,963
2019-09-11,891
2019-09-12,917
2019-09-13,894
2019-09-14,881
2019-09-15,818
2019-09-16,939
2019-09-17,932
2019-09-18,940
2019-09-19,882
2019-09-20,918
2019-09-21,852
2019-09-22,953
2019-09-23,1041
2019-09-24,1111
2019-09-25,930
2019-09-26,914
2019-09-27,1013
2019-09-28,833
2019-09-29,866
2019-09-30,866
2019-10-01,978
2019-10-02,788
2019-10-03,981
2019-10-04,911
2019-10-05,867
2019-10-06,932
2019-10-07,865
2019-10-08,927
2019-10-09,876
2019-10-10,963
2019-10-11,1041
2019-10-12,834
2019-10-13,859
2019-10-14,890
2019-10-15,913
2019-10-16,931
2019-10-17,1041
2019-10-18,973
2019-10-19,951
2019-10-20,879
2019-10-21,880
2019-10-22,934
2019-10-23,893
2019-10-24,961
2019-10-25,918
2019-10-26,847
2019-10-27,925
2019-10-28,843
2019-10-29,984
2019-10-30,970
2019-10-31,1069
2019-11-01,1111
2019-11-02,946
2019-11-03,885
2019-11-04,934
2019-11-05,983
2019-11-06,999
2019-11-07,953
2019-11-08,963
2019-11-09,821
2019-11-10,857
2019-11-11,879
2019-11-12,912
2019-11-13,1038
2019-11-14,920
2019-11-15,985
2019-11-16,758
2019-11-17,891
2019-11-18,894
2019-11-19,929
2019-11-20,972
2019-11-21,1048
2019-11-22,1142
2019-11-23,913
2019-11-24,885
2019-11-25,891
2019-11-26,944
2019-11-27,943
2019-11-28,985
2019-11-29,1001
2019-11-30,858
2019-12-01,846
2019-12-02,891
2019-12-03,925
2019-12-04,997
2019-12-05,962
2019-12-06,1063
2019-12-07,873
2019-12-08,880
2019-12-09,1031
2019-12-10,918
2019-12-11,970
2019-12-12,1150
2019-12-13,1587
2019-12-14,922
2019-12-15,858
2019-12-16,913
2019-12-17,1012
2019-12-18,993
2019-12-19,972
2019-12-20,960
2019-12-21,853
2019-12-22,786
2019-12-23,784
2019-12-24,860
2019-12-25,913
2019-12-26,759
2019-12-27,722
2019-12-28,739
2019-12-29,803
2019-12-30,874
2019-12-31,1280
2020-01-01,1279
2020-01-02,919
2020-01-03,941
2020-01-04,821
2020-01-05,883
2020-01-06,927
2020-01-07,985
2020-01-08,892
2020-01-09,989
2020-01-10,946
2020-01-11,923
2020-01-12,837
2020-01-13,1075
2020-01-14,1027
2020-01-15,987
2020-01-16,1118
2020-01-17,995
2020-01-18,852
2020-01-19,804
2020-01-20,907
2020-01-21,929
2020-01-22,905
2020-01-23,899
2020-01-24,1036
2020-01-25,844
2020-01-26,840
2020-01-27,1048
2020-01-28,923
2020-01-29,1097
2020-01-30,1039
2020-01-31,1369
2020-02-01,1052
2020-02-02,978
2020-02-03,968
2020-02-04,939
2020-02-05,942
2020-02-06,1022
2020-02-07,1009
2020-02-08,797
2020-02-09,837
2020-02-10,1116
2020-02-11,958
2020-02-12,1000
2020-02-13,1012
2020-02-14,1184
2020-02-15,935
2020-02-16,933
2020-02-17,938
2020-02-18,906
2020-02-19,927
2020-02-20,938
2020-02-21,1043
2020-02-22,973
2020-02-23,947
2020-02-24,964
2020-02-25,926
2020-02-26,948
2020-02-27,976
2020-02-28,993
2020-02-29,885
2020-03-01,916
2020-03-02,883
2020-03-03,914
2020-03-04,982
2020-03-05,1065
2020-03-06,954
2020-03-07,872
2020-03-08,1022
2020-03-09,925
2020-03-10,926
2020-03-11,980
2020-03-12,974
2020-03-13,1006
2020-03-14,992
2020-03-15,914
2020-03-16,1093
2020-03-17,1182
2020-03-18,1308
2020-03-19,1123
2020-03-20,1371
2020-03-21,1045
2020-03-22,1001
2020-03-23,1193
2020-03-24,1151
2020-03-25,1058
2020-03-26,1125
2020-03-27,1067
2020-03-28,913
2020-03-29,962
2020-03-30,1007
2020-03-31,1119
2020-04-01,1094
2020-04-02,1070
2020-04-03,1190
2020-04-04,1125
