day,ntweets
2019-06-01,28
2019-06-02,28
2019-06-03,30
2019-06-04,37
2019-06-05,32
2019-06-06,24
2019-06-07,36
2019-06-08,24
2019-06-09,28
2019-06-10,31
2019-06-11,24
2019-06-12,27
2019-06-13,25
2019-06-14,33
2019-06-15,20
2019-06-16,15
2019-06-17,25
2019-06-18,28
2019-06-19,35
2019-06-20,33
2019-06-21,31
2019-06-22,25
2019-06-23,23
2019-06-24,31
2019-06-25,32
2019-06-26,27
2019-06-27,29
2019-06-28,34
2019-06-29,20
2019-06-30,24
2019-07-01,32
2019-07-02,24
2019-07-03,29
2019-07-04,23
2019-07-05,28
2019-07-06,20
2019-07-07,18
2019-07-08,23
2019-07-09,36
2019-07-10,47
2019-07-11,25
2019-07-12,18
2019-07-13,27
2019-07-14,28
2019-07-15,21
2019-07-16,32
2019-07-17,26
2019-07-18,28
2019-07-19,30
2019-07-20,16
2019-07-21,17
2019-07-22,27
2019-07-23,21
2019-07-24,24
2019-07-25,25
2019-07-26,11
2019-07-27,15
2019-07-28,27
2019-07-29,41
2019-07-30,36
2019-07-31,30
2019-08-01,32
2019-08-02,23
2019-08-03,25
2019-08-04,28
2019-08-05,24
2019-08-06,20
2019-08-07,19
2019-08-08,30
2019-08-09,15
2019-08-10,28
2019-08-11,18
2019-08-12,20
2019-08-13,24
2019-08-14,27
2019-08-15,36
2019-08-16,26
2019-08-17,17
2019-08-18,14
2019-08-19,19
2019-08-20,25
2019-08-21,25
2019-08-22,24
2019-08-23,21
2019-08-24,20
2019-08-25,26
2019-08-26,27
2019-08-27,23
2019-08-28,23
2019-08-29,27
2019-08-30,24
2019-08-31,20
2019-09-01,19
2019-09-02,26
2019-09-03,24
2019-09-04,31
2019-09-05,23
2019-09-06,27
2019-09-07,18
2019-09-08,15
2019-09-09,24
2019-09-10,28
2019-09-11,28
2019-09-12,28
2019-09-13,42
2019-09-14,20
2019-09-15,27
2019-09-16,30
2019-09-17,27
2019-09-18,26
2019-09-19,30
2019-09-20,34
2019-09-21,29
2019-09-22,26
2019-09-23,19
2019-09-24,38
2019-09-25,28
2019-09-26,26
2019-09-27,27
2019-09-28,25
2019-09-29,22
2019-09-30,24
2019-10-01,29
2019-10-02,23
2019-10-03,33
2019-10-04,39
2019-10-05,21
2019-10-06,24
2019-10-07,24
2019-10-08,34
2019-10-09,38
2019-10-10,29
2019-10-11,28
2019-10-12,35
2019-10-13,25
2019-10-14,29
2019-10-15,33
2019-10-16,28
2019-10-17,33
2019-10-18,20
2019-10-19,16
2019-10-20,24
2019-10-21,31
2019-10-22,21
2019-10-23,25
2019-10-24,29
2019-10-25,24
2019-10-26,20
2019-10-27,22
2019-10-28,21
2019-10-29,16
2019-10-30,29
2019-10-31,30
2019-11-01,22
2019-11-02,33
2019-11-03,33
2019-11-04,26
2019-11-05,23
2019-11-06,25
2019-11-07,37
2019-11-08,41
2019-11-09,33
2019-11-10,31
2019-11-11,23
2019-11-12,33
2019-11-13,30
2019-11-14,33
2019-11-15,32
2019-11-16,23
2019-11-17,18
2019-11-18,29
2019-11-19,28
2019-11-20,32
2019-11-21,36
2019-11-22,32
2019-11-23,33
2019-11-24,18
2019-11-25,14
2019-11-26,31
2019-11-27,24
2019-11-28,42
2019-11-29,29
2019-11-30,26
2019-12-01,27
2019-12-02,25
2019-12-03,24
2019-12-04,26
2019-12-05,39
2019-12-06,21
2019-12-07,20
2019-12-08,23
2019-12-09,20
2019-12-10,29
2019-12-11,30
2019-12-12,42
2019-12-13,48
2019-12-14,18
2019-12-15,16
2019-12-16,31
2019-12-17,24
2019-12-18,24
2019-12-19,22
2019-12-20,29
2019-12-21,23
2019-12-22,17
2019-12-23,12
2019-12-24,18
2019-12-25,11
2019-12-26,11
2019-12-27,17
2019-12-28,16
2019-12-29,22
2019-12-30,32
2019-12-31,21
2020-01-01,25
2020-01-02,15
2020-01-03,22
2020-01-04,20
2020-01-05,21
2020-01-06,26
2020-01-07,19
2020-01-08,26
2020-01-09,31
2020-01-10,23
2020-01-11,16
2020-01-12,20
2020-01-13,19
2020-01-14,29
2020-01-15,23
2020-01-16,31
2020-01-17,27
2020-01-18,27
2020-01-19,25
2020-01-20,40
2020-01-21,28
2020-01-22,29
2020-01-23,22
2020-01-24,29
2020-01-25,25
2020-01-26,16
2020-01-27,20
2020-01-28,29
2020-01-29,39
2020-01-30,25
2020-01-31,25
2020-02-01,24
2020-02-02,29
2020-02-03,31
2020-02-04,39
2020-02-05,27
2020-02-06,23
2020-02-07,20
2020-02-08,25
2020-02-09,24
2020-02-10,25
2020-02-11,48
2020-02-12,24
2020-02-13,28
2020-02-14,30
2020-02-15,20
2020-02-16,28
2020-02-17,21
2020-02-18,25
2020-02-19,28
2020-02-20,25
2020-02-21,27
2020-02-22,24
2020-02-23,15
2020-02-24,28
2020-02-25,25
2020-02-26,37
2020-02-27,28
2020-02-28,36
2020-02-29,30
2020-03-01,22
2020-03-02,25
2020-03-03,33
2020-03-04,28
2020-03-05,38
2020-03-06,43
2020-03-07,36
2020-03-08,104
2020-03-09,32
2020-03-10,30
2020-03-11,31
2020-03-12,18
2020-03-13,20
2020-03-14,16
2020-03-15,21
2020-03-16,32
2020-03-17,21
2020-03-18,42
2020-03-19,24
2020-03-20,40
2020-03-21,21
2020-03-22,17
2020-03-23,31
2020-03-24,23
2020-03-25,32
2020-03-26,41
2020-03-27,35
2020-03-28,36
2020-03-29,35
2020-03-30,37
2020-03-31,26
2020-04-01,40
2020-04-02,33
2020-04-03,48
2020-04-04,36
2020-04-05,30
2020-04-06,45
2020-04-07,43
2020-04-08,38
2020-04-09,30
2020-04-10,35
2020-04-11,28
2020-04-12,30
2020-04-13,45
2020-04-14,30
2020-04-15,49
2020-04-16,37
