day,ntweets
2019-06-01,19
2019-06-02,15
2019-06-03,21
2019-06-04,26
2019-06-05,30
2019-06-06,27
2019-06-07,26
2019-06-08,22
2019-06-09,21
2019-06-10,18
2019-06-11,26
2019-06-12,18
2019-06-13,29
2019-06-14,25
2019-06-15,12
2019-06-16,20
2019-06-17,15
2019-06-18,24
2019-06-19,24
2019-06-20,20
2019-06-21,20
2019-06-22,20
2019-06-23,20
2019-06-24,24
2019-06-25,16
2019-06-26,26
2019-06-27,21
2019-06-28,20
2019-06-29,12
2019-06-30,22
2019-07-01,23
2019-07-02,33
2019-07-03,22
2019-07-04,26
2019-07-05,23
2019-07-06,17
2019-07-07,21
2019-07-08,18
2019-07-09,27
2019-07-10,25
2019-07-11,32
2019-07-12,12
2019-07-13,24
2019-07-14,23
2019-07-15,13
2019-07-16,29
2019-07-17,23
2019-07-18,21
2019-07-19,24
2019-07-20,32
2019-07-21,23
2019-07-22,31
2019-07-23,65
2019-07-24,56
2019-07-25,54
2019-07-26,32
2019-07-27,36
2019-07-28,34
2019-07-29,27
2019-07-30,29
2019-07-31,28
2019-08-01,34
2019-08-02,43
2019-08-03,41
2019-08-04,20
2019-08-05,23
2019-08-06,27
2019-08-07,35
2019-08-08,65
2019-08-09,52
2019-08-10,29
2019-08-11,34
2019-08-12,21
2019-08-13,28
2019-08-14,24
2019-08-15,23
2019-08-16,31
2019-08-17,25
2019-08-18,23
2019-08-19,24
2019-08-20,24
2019-08-21,25
2019-08-22,24
2019-08-23,21
2019-08-24,28
2019-08-25,18
2019-08-26,19
2019-08-27,31
2019-08-28,44
2019-08-29,28
2019-08-30,21
2019-08-31,38
2019-09-01,22
2019-09-02,28
2019-09-03,31
2019-09-04,26
2019-09-05,29
2019-09-06,35
2019-09-07,14
2019-09-08,22
2019-09-09,19
2019-09-10,25
2019-09-11,21
2019-09-12,18
2019-09-13,29
2019-09-14,25
2019-09-15,15
2019-09-16,23
2019-09-17,29
2019-09-18,27
2019-09-19,24
2019-09-20,31
2019-09-21,15
2019-09-22,24
2019-09-23,19
2019-09-24,23
2019-09-25,17
2019-09-26,23
2019-09-27,26
2019-09-28,18
2019-09-29,28
2019-09-30,17
2019-10-01,21
2019-10-02,22
2019-10-03,17
2019-10-04,16
2019-10-05,16
2019-10-06,27
2019-10-07,21
2019-10-08,25
2019-10-09,16
2019-10-10,21
2019-10-11,28
2019-10-12,16
2019-10-13,21
2019-10-14,13
2019-10-15,24
2019-10-16,27
2019-10-17,26
2019-10-18,39
2019-10-19,25
2019-10-20,18
2019-10-21,21
2019-10-22,26
2019-10-23,25
2019-10-24,32
2019-10-25,14
2019-10-26,23
2019-10-27,25
2019-10-28,20
2019-10-29,20
2019-10-30,33
2019-10-31,23
2019-11-01,29
2019-11-02,23
2019-11-03,23
2019-11-04,18
2019-11-05,25
2019-11-06,17
2019-11-07,16
2019-11-08,25
2019-11-09,30
2019-11-10,15
2019-11-11,32
2019-11-12,24
2019-11-13,29
2019-11-14,22
2019-11-15,18
2019-11-16,20
2019-11-17,13
2019-11-18,20
2019-11-19,30
2019-11-20,22
2019-11-21,26
2019-11-22,28
2019-11-23,29
2019-11-24,21
2019-11-25,22
2019-11-26,20
2019-11-27,14
2019-11-28,25
2019-11-29,29
2019-11-30,24
2019-12-01,14
2019-12-02,23
2019-12-03,24
2019-12-04,32
2019-12-05,20
2019-12-06,29
2019-12-07,30
2019-12-08,23
2019-12-09,36
2019-12-10,37
2019-12-11,47
2019-12-12,129
2019-12-13,57
2019-12-14,30
2019-12-15,27
2019-12-16,32
2019-12-17,25
2019-12-18,23
2019-12-19,24
2019-12-20,39
2019-12-21,21
2019-12-22,31
2019-12-23,19
2019-12-24,14
2019-12-25,11
2019-12-26,13
2019-12-27,12
2019-12-28,18
2019-12-29,36
2019-12-30,31
2019-12-31,61
2020-01-01,60
2020-01-02,27
2020-01-03,24
2020-01-04,23
2020-01-05,14
