day,ntweets
2019-06-01,814855
2019-06-02,756162
2019-06-03,847396
2019-06-04,876325
2019-06-05,879368
2019-06-06,890237
2019-06-07,890104
2019-06-08,721715
2019-06-09,722918
2019-06-10,815691
2019-06-11,838299
2019-06-12,869770
2019-06-13,894418
2019-06-14,868131
2019-06-15,698337
2019-06-16,750275
2019-06-17,777900
2019-06-18,863114
2019-06-19,876559
2019-06-20,871877
2019-06-21,892478
2019-06-22,688873
2019-06-23,696331
2019-06-24,818668
2019-06-25,852212
2019-06-26,842781
2019-06-27,839169
2019-06-28,835858
2019-06-29,697969
2019-06-30,701113
2019-07-01,795960
2019-07-02,889602
2019-07-03,857329
2019-07-04,875522
2019-07-05,839303
2019-07-06,702250
2019-07-07,688639
2019-07-08,781679
2019-07-09,826694
2019-07-10,852647
2019-07-11,772716
2019-07-12,703655
2019-07-13,690746
2019-07-14,788067
2019-07-15,780475
2019-07-16,794722
2019-07-17,829838
2019-07-18,832045
2019-07-19,830340
2019-07-20,690545
2019-07-21,669275
2019-07-22,774857
2019-07-23,867763
2019-07-24,841644
2019-07-25,870974
2019-07-26,821912
2019-07-27,713153
2019-07-28,692351
2019-07-29,774522
2019-07-30,788602
2019-07-31,794120
2019-08-01,812648
2019-08-02,820842
2019-08-03,687569
2019-08-04,690144
2019-08-05,763419
2019-08-06,804454
2019-08-07,837129
2019-08-08,878800
2019-08-09,840874
2019-08-10,738470
2019-08-11,709809
2019-08-12,750175
2019-08-13,771378
2019-08-14,829035
2019-08-15,853817
2019-08-16,816594
2019-08-17,717835
2019-08-18,697368
2019-08-19,783251
2019-08-20,769439
2019-08-21,796628
2019-08-22,801311
2019-08-23,793719
2019-08-24,717467
2019-08-25,690010
2019-08-26,687201
2019-08-27,770977
2019-08-28,859101
2019-08-29,823818
2019-08-30,823751
2019-08-31,760175
2019-09-01,741246
2019-09-02,800809
2019-09-03,827196
2019-09-04,852546
2019-09-05,837898
2019-09-06,841075
2019-09-07,737968
2019-09-08,695428
2019-09-09,786194
2019-09-10,793618
2019-09-11,809036
2019-09-12,812079
2019-09-13,820741
2019-09-14,725092
2019-09-15,711982
2019-09-16,773184
2019-09-17,817129
2019-09-18,817196
2019-09-19,811845
2019-09-20,822447
2019-09-21,741580
2019-09-22,758068
2019-09-23,832814
2019-09-24,953312
2019-09-25,888833
2019-09-26,868833
2019-09-27,857964
2019-09-28,745058
2019-09-29,725928
2019-09-30,806427
2019-10-01,847396
2019-10-02,748770
2019-10-03,827229
2019-10-04,830942
2019-10-05,759406
2019-10-06,743319
2019-10-07,789639
2019-10-08,826193
2019-10-09,837864
2019-10-10,888799
2019-10-11,853282
2019-10-12,719072
2019-10-13,711782
2019-10-14,796093
2019-10-15,790575
2019-10-16,808534
2019-10-17,866191
2019-10-18,856259
2019-10-19,795759
2019-10-20,750175
2019-10-21,778803
2019-10-22,808501
2019-10-23,806160
2019-10-24,832915
2019-10-25,829002
2019-10-26,738303
2019-10-27,709508
2019-10-28,749874
2019-10-29,818935
2019-10-30,874987
2019-10-31,887629
2019-11-01,856158
2019-11-02,795391
2019-11-03,743520
2019-11-04,794956
2019-11-05,848366
2019-11-06,860773
2019-11-07,854453
2019-11-08,839637
2019-11-09,761345
2019-11-10,745460
2019-11-11,789639
2019-11-12,819939
2019-11-13,852245
2019-11-14,881408
2019-11-15,886625
2019-11-16,721146
2019-11-17,716063
2019-11-18,785291
2019-11-19,914016
2019-11-20,867395
2019-11-21,871676
2019-11-22,879067
2019-11-23,778468
2019-11-24,753720
2019-11-25,821243
2019-11-26,864218
2019-11-27,898832
2019-11-28,882411
2019-11-29,875656
2019-11-30,742851
2019-12-01,772716
2019-12-02,813250
2019-12-03,847663
2019-12-04,891542
2019-12-05,916925
2019-12-06,875489
2019-12-07,788635
2019-12-08,765158
2019-12-09,851811
2019-12-10,869970
2019-12-11,912946
2019-12-12,1118624
2019-12-13,1140396
2019-12-14,794756
2019-12-15,778468
2019-12-16,810708
2019-12-17,825323
2019-12-18,838266
2019-12-19,832313
2019-12-20,828433
2019-12-21,713922
2019-12-22,680612
2019-12-23,713320
2019-12-24,782549
2019-12-25,700478
2019-12-26,602655
2019-12-27,621350
2019-12-28,631952
2019-12-29,704458
2019-12-30,690077
2019-12-31,865757
2020-01-01,894618
2020-01-02,719273
2020-01-03,736296
2020-01-04,697769
2020-01-05,720611
2020-01-06,766663
2020-01-07,784555
2020-01-08,785826
2020-01-09,812815
2020-01-10,820173
2020-01-11,767900
2020-01-12,742951
2020-01-13,775425
2020-01-14,828734
2020-01-15,819905
2020-01-16,824755
2020-01-17,826928
2020-01-18,749272
2020-01-19,732684
2020-01-20,782348
2020-01-21,814354
2020-01-22,832413
2020-01-23,828634
2020-01-24,831243
2020-01-25,701849
2020-01-26,728370
2020-01-27,785458
2020-01-28,835356
2020-01-29,873750
2020-01-30,844219
2020-01-31,967894
2020-02-01,805558
2020-02-02,770944
2020-02-03,795826
2020-02-04,809671
2020-02-05,815558
2020-02-06,816594
2020-02-07,801411
2020-02-08,728838
2020-02-09,761212
2020-02-10,787231
2020-02-11,805223
2020-02-12,836995
2020-02-13,818634
2020-02-14,905086
2020-02-15,769472
2020-02-16,743353
2020-02-17,799070
2020-02-18,817397
2020-02-19,820608
2020-02-20,827664
2020-02-21,822213
2020-02-22,747700
2020-02-23,745660
2020-02-24,775592
2020-02-25,810775
2020-02-26,819103
2020-02-27,830774
2020-02-28,845222
2020-02-29,779907
2020-03-01,755259
2020-03-02,773853
2020-03-03,810407
2020-03-04,835289
2020-03-05,874385
2020-03-06,831009
2020-03-07,741480
2020-03-08,800341
2020-03-09,767064
2020-03-10,802247
2020-03-11,857162
2020-03-12,879134
2020-03-13,924651
2020-03-14,812046
2020-03-15,814220
2020-03-16,912477
2020-03-17,1008762
2020-03-18,1074445
2020-03-19,1070733
2020-03-20,1149092
2020-03-21,983646
2020-03-22,972342
2020-03-23,1089595
2020-03-24,1090063
2020-03-25,1076719
2020-03-26,1171365
2020-03-27,1130263
2020-03-28,991338
2020-03-29,925654
2020-03-30,1021470
2020-03-31,1028627
2020-04-01,1076084
2020-04-02,1111869
2020-04-03,1131500
2020-04-04,1032908
2020-04-05,1001505
2020-04-06,1052071
2020-04-07,1037891
2020-04-08,1045751
2020-04-09,1090766
2020-04-10,1043276
2020-04-11,985719
2020-04-12,1026454
2020-04-13,933614
2020-04-14,996856
2020-04-15,1023444
2020-04-16,1097120
2020-04-17,1073910
2020-04-18,967559
2020-04-19,937226
2020-04-20,979030
2020-04-21,1020668
2020-04-22,1039998
2020-04-23,1086184
2020-04-24,1078826
2020-04-25,918865
2020-04-26,878733
2020-04-27,995317
2020-04-28,1037657
2020-04-29,1017390
2020-04-30,1105983
2020-05-01,1122370
2020-05-02,924751
2020-05-03,916056
2020-05-04,1018126
2020-05-05,1034146
2020-05-06,1014380
2020-05-07,1056453
2020-05-08,1035952
2020-05-09,907427
2020-05-10,1046185
2020-05-11,1024614
2020-05-12,1034614
2020-05-13,1024246
2020-05-14,1029999
2020-05-15,1062004
2020-05-16,943781
2020-05-17,854185
2020-05-18,982977
2020-05-19,1011203
2020-05-20,1040032
2020-05-21,1038828
2020-05-22,1070332
2020-05-23,994247
2020-05-24,1042874
2020-05-25,1063643
2020-05-26,1044312
2020-05-27,1054914
2020-05-28,1043510
2020-05-29,1008360
2020-05-30,879034
2020-05-31,865857
2020-06-01,957927
2020-06-02,885087
2020-06-03,1021002
2020-06-04,999632
2020-06-05,1034480
2020-06-06,931607
2020-06-07,933647
2020-06-08,977860
2020-06-09,1025049
2020-06-10,1057723
2020-06-11,1071134
2020-06-12,1088592
2020-06-13,940269
2020-06-14,858265
2020-06-15,976790
2020-06-16,1045516
2020-06-17,1100030
2020-06-18,1055249
2020-06-19,1086351
2020-06-20,900571
2020-06-21,905086
2020-06-22,948028
2020-06-23,1009364
2020-06-24,1021838
2020-06-25,1123139
2020-06-26,1081769
2020-06-27,964148
2020-06-28,906458
2020-06-29,980034
2020-06-30,1025952
2020-07-01,1082238
2020-07-02,1045048
2020-07-03,1049630
2020-07-04,955285
2020-07-05,880505
2020-07-06,950871
2020-07-07,1002742
2020-07-08,1024949
2020-07-09,1015584
2020-07-10,978428
2020-07-11,835256
2020-07-12,832614
2020-07-13,933647
2020-07-14,959232
2020-07-15,1010367
2020-07-16,978930
2020-07-17,986890
2020-07-18,842012
2020-07-19,820407
2020-07-20,878833
2020-07-21,915889
2020-07-22,1036085
2020-07-23,979800
2020-07-24,976087
2020-07-25,835992
2020-07-26,879268
2020-07-27,840674
2020-07-28,845490
2020-07-29,906591
2020-07-30,937326
2020-07-31,959666
2020-08-01,858834
2020-08-02,796294
2020-08-03,860171
2020-08-04,911207
2020-08-05,924049
2020-08-06,927293
2020-08-07,956489
2020-08-08,799939
2020-08-09,791612
2020-08-10,887528
2020-08-11,940737
2020-08-12,967760
2020-08-13,1003946
2020-08-14,985552
2020-08-15,841945
2020-08-16,847229
2020-08-17,904050
2020-08-18,887595
2020-08-19,950436
2020-08-20,930303
2020-08-21,938129
2020-08-22,810909
2020-08-23,818634
2020-08-24,852078
2020-08-25,930570
2020-08-26,917159
2020-08-27,906959
2020-08-28,917761
2020-08-29,805825
2020-08-30,754055
2020-08-31,805524
2020-09-01,887461
2020-09-02,899969
2020-09-03,924818
2020-09-04,931039
2020-09-05,826159
2020-09-06,809805
2020-09-07,880004
2020-09-08,941540
2020-09-09,947158
2020-09-10,930236
2020-09-11,934249
2020-09-12,880572
2020-09-13,821377
2020-09-14,917394
2020-09-15,935286
2020-09-16,943948
2020-09-17,951205
2020-09-18,966757
2020-09-19,892144
2020-09-20,851175
2020-09-21,889736
2020-09-22,983077
2020-09-23,949566
2020-09-24,937493
2020-09-25,938864
2020-09-26,883682
2020-09-27,874987
2020-09-28,913380
2020-09-29,913514
2020-09-30,953613
2020-10-01,1003979
2020-10-02,991873
2020-10-03,915721
2020-10-04,1000200
2020-10-05,963747
2020-10-06,937192
2020-10-07,927560
2020-10-08,943112
2020-10-09,953346
2020-10-10,874552
2020-10-11,819604
2020-10-12,904718
2020-10-13,903180
2020-10-14,964382
2020-10-15,873683
2020-10-16,980703
2020-10-17,941808
2020-10-18,845523
2020-10-19,885421
2020-10-20,980435
2020-10-21,1002006
2020-10-22,1005852
2020-10-23,1045182
2020-10-24,962308
2020-10-25,868666
2020-10-26,906391
2020-10-27,951540
2020-10-28,948864
2020-10-29,1000167
2020-10-30,987191
2020-10-31,1124945
2020-11-01,957961
2020-11-02,930504
2020-11-03,986923
2020-11-04,1022407
2020-11-05,1041737
2020-11-06,1090398
2020-11-07,1150329
2020-11-08,982542
2020-11-09,975987
2020-11-10,1004180
2020-11-11,1013176
2020-11-12,1028594
2020-11-13,1067054
2020-11-14,924350
2020-11-15,935554
2020-11-16,945854
2020-11-17,977860
2020-11-18,1026587
2020-11-19,1020935
2020-11-20,1027189
2020-11-21,931741
2020-11-22,884819
2020-11-23,946958
2020-11-24,1001270
2020-11-25,1013845
2020-11-26,1005919
2020-11-27,1040701
2020-11-28,940971
2020-11-29,953479
2020-11-30,1054412
2020-12-01,1030032
2020-12-02,1051269
2020-12-03,977726
2020-12-04,976589
2020-12-05,889970
2020-12-06,903514
2020-12-07,897762
2020-12-08,974683
2020-12-09,941540
2020-12-10,966790
2020-12-11,1009999
2020-12-12,916123
2020-12-13,922042
2020-12-14,914986
2020-12-15,964783
2020-12-16,1026253
2020-12-17,974482
2020-12-18,979766
2020-12-19,1022273
2020-12-20,949299
2020-12-21,966221
2020-12-22,937058
2020-12-23,958028
2020-12-24,1057891
2020-12-25,863616
2020-12-26,773017
2020-12-27,792515
2020-12-28,826092
2020-12-29,934717
2020-12-30,1006220
2020-12-31,1230259
2021-01-01,1140597
2021-01-02,954616
2021-01-03,922544
2021-01-04,1107655
2021-01-05,1005986
2021-01-06,1086953
2021-01-07,976689
2021-01-08,1049998
2021-01-09,988729
2021-01-10,944015
2021-01-11,1003177
2021-01-12,1035416
2021-01-13,1037858
2021-01-14,1000635
2021-01-15,1012808
2021-01-16,954182
2021-01-17,942945
2021-01-18,940905
2021-01-19,999030
2021-01-20,1079662
2021-01-21,1016019
2021-01-22,1035818
2021-01-23,955185
2021-01-24,985886
2021-01-25,982475
2021-01-26,1041804
2021-01-27,1024581
2021-01-28,1013845
2021-01-29,1037022
2021-01-30,998327
2021-01-31,951740
2021-02-01,1022306
2021-02-02,1077321
2021-02-03,1040600
2021-02-04,1016922
2021-02-05,1033911
2021-02-06,1007357
2021-02-07,978729
2021-02-08,970368
2021-02-09,997826
2021-02-10,990803
2021-02-11,990301
2021-02-12,1023477
2021-02-13,981305
2021-02-14,995786
2021-02-15,930102
2021-02-16,982074
2021-02-17,988261
2021-02-18,983378
2021-02-19,1003143
2021-02-20,984047
2021-02-21,916323
2021-02-22,985953
2021-02-23,987324
2021-02-24,1008227
2021-02-25,997658
2021-02-26,1041537
2021-02-27,938262
2021-02-28,906759
2021-03-01,948229
2021-03-02,965787
2021-03-03,1021437
2021-03-04,1074847
2021-03-05,1019932
2021-03-06,938864
2021-03-07,940436
2021-03-08,1118190
2021-03-09,969967
2021-03-10,990903
2021-03-11,999297
2021-03-12,1039430
2021-03-13,948362
2021-03-14,958161
2021-03-15,952476
2021-03-16,956356
2021-03-17,987558
2021-03-18,1015283
2021-03-19,1024714
2021-03-20,959232
2021-03-21,927694
2021-03-22,922878
2021-03-23,927259
2021-03-24,928597
2021-03-25,975920
2021-03-26,1025183
2021-03-27,886926
2021-03-28,839436
2021-03-29,878833
2021-03-30,883682
2021-03-31,942644
2021-04-01,931708
2021-04-02,888599
2021-04-03,836125
2021-04-04,854620
2021-04-05,860004
2021-04-06,917795
2021-04-07,914083
2021-04-08,941373
2021-04-09,1008595
2021-04-10,921541
2021-04-11,901140
2021-04-12,900404
2021-04-13,885221
2021-04-14,896123
2021-04-15,884819
2021-04-16,900739
2021-04-17,695863
2021-04-18,881208
2021-04-19,1011772
2021-04-20,1021771
2021-04-21,903414
2021-04-22,882980
2021-04-23,903481
2021-04-24,795491
2021-04-25,789003
2021-04-26,821878
2021-04-27,890672
2021-04-28,902979
2021-04-29,937794
2021-04-30,919266
2021-05-01,791578
2021-05-02,814621
2021-05-03,779472
2021-05-04,900973
2021-05-05,927259
2021-05-06,965954
2021-05-07,1029898
2021-05-08,989130
2021-05-09,888866
2021-05-10,923514
2021-05-11,963981
2021-05-12,952008
2021-05-13,974181
2021-05-14,952543
2021-05-15,898732
2021-05-16,859135
2021-05-17,907461
2021-05-18,931172
2021-05-19,936022
2021-05-20,933814
2021-05-21,943045
2021-05-22,960469
2021-05-23,861944
2021-05-24,845523
2021-05-25,859235
2021-05-26,951372
2021-05-27,887562
2021-05-28,894719
2021-05-29,833751
2021-05-30,703153
2021-05-31,728570
2021-06-01,861844
2021-06-02,883950
2021-06-03,870205
2021-06-04,875656
2021-06-05,747934
2021-06-06,799103
2021-06-07,836928
2021-06-08,866626
2021-06-09,904284
2021-06-10,912477
2021-06-11,939767
2021-06-12,861911
2021-06-13,865690
2021-06-14,899100
2021-06-15,920437
2021-06-16,952108
2021-06-17,934952
2021-06-18,1048727
2021-06-19,798167
2021-06-20,786462
2021-06-21,858566
2021-06-22,930303
2021-06-23,870572
2021-06-24,858633
2021-06-25,916357
2021-06-26,824253
2021-06-27,777097
2021-06-28,982609
2021-06-29,1017658
2021-06-30,907661
2021-07-01,893214
2021-07-02,944416
2021-07-03,869569
2021-07-04,788134
2021-07-05,894652
2021-07-06,951841
2021-07-07,1075081
