day,ntweets
2019-06-01,278
2019-06-02,299
2019-06-03,314
2019-06-04,353
2019-06-05,310
2019-06-06,283
2019-06-07,338
2019-06-08,306
2019-06-09,271
2019-06-10,277
2019-06-11,304
2019-06-12,250
2019-06-13,278
2019-06-14,308
2019-06-15,237
2019-06-16,261
2019-06-17,246
2019-06-18,285
2019-06-19,280
2019-06-20,278
2019-06-21,240
2019-06-22,222
2019-06-23,233
2019-06-24,277
2019-06-25,267
2019-06-26,281
2019-06-27,267
2019-06-28,277
2019-06-29,220
2019-06-30,250
2019-07-01,262
2019-07-02,330
2019-07-03,311
2019-07-04,263
2019-07-05,261
2019-07-06,235
2019-07-07,263
2019-07-08,253
2019-07-09,285
2019-07-10,284
2019-07-11,230
2019-07-12,225
2019-07-13,225
2019-07-14,253
2019-07-15,256
2019-07-16,274
2019-07-17,227
2019-07-18,305
2019-07-19,296
2019-07-20,221
2019-07-21,292
2019-07-22,252
2019-07-23,274
2019-07-24,298
2019-07-25,277
2019-07-26,295
2019-07-27,239
2019-07-28,238
2019-07-29,242
2019-07-30,269
2019-07-31,286
2019-08-01,285
2019-08-02,265
2019-08-03,241
2019-08-04,260
2019-08-05,292
2019-08-06,279
2019-08-07,286
2019-08-08,338
2019-08-09,265
2019-08-10,253
2019-08-11,244
2019-08-12,231
2019-08-13,267
2019-08-14,242
2019-08-15,249
2019-08-16,266
2019-08-17,241
2019-08-18,268
2019-08-19,256
2019-08-20,301
2019-08-21,278
2019-08-22,268
2019-08-23,290
2019-08-24,229
2019-08-25,219
2019-08-26,236
2019-08-27,368
2019-08-28,363
2019-08-29,326
2019-08-30,289
2019-08-31,285
2019-09-01,251
2019-09-02,285
2019-09-03,275
2019-09-04,292
2019-09-05,280
2019-09-06,307
2019-09-07,268
2019-09-08,243
2019-09-09,322
2019-09-10,281
2019-09-11,287
2019-09-12,250
2019-09-13,271
2019-09-14,233
2019-09-15,254
2019-09-16,253
2019-09-17,215
2019-09-18,237
2019-09-19,241
2019-09-20,273
2019-09-21,195
2019-09-22,267
2019-09-23,352
2019-09-24,287
2019-09-25,276
2019-09-26,282
2019-09-27,242
2019-09-28,260
2019-09-29,251
2019-09-30,257
2019-10-01,280
2019-10-02,202
2019-10-03,267
2019-10-04,292
2019-10-05,258
2019-10-06,255
2019-10-07,239
2019-10-08,258
2019-10-09,260
2019-10-10,323
2019-10-11,281
2019-10-12,263
2019-10-13,328
2019-10-14,335
2019-10-15,278
2019-10-16,270
2019-10-17,308
2019-10-18,327
2019-10-19,276
2019-10-20,260
2019-10-21,247
2019-10-22,266
2019-10-23,249
2019-10-24,233
2019-10-25,263
2019-10-26,232
2019-10-27,243
2019-10-28,262
2019-10-29,339
2019-10-30,297
2019-10-31,311
2019-11-01,324
2019-11-02,273
2019-11-03,265
2019-11-04,256
2019-11-05,261
2019-11-06,317
2019-11-07,262
2019-11-08,275
2019-11-09,227
2019-11-10,229
2019-11-11,264
2019-11-12,265
2019-11-13,254
2019-11-14,271
2019-11-15,263
2019-11-16,235
2019-11-17,281
2019-11-18,210
2019-11-19,340
2019-11-20,273
2019-11-21,272
2019-11-22,274
2019-11-23,239
2019-11-24,245
2019-11-25,272
2019-11-26,273
2019-11-27,319
2019-11-28,273
2019-11-29,258
2019-11-30,216
2019-12-01,249
2019-12-02,269
2019-12-03,281
2019-12-04,350
2019-12-05,317
2019-12-06,278
2019-12-07,246
2019-12-08,275
2019-12-09,304
2019-12-10,289
2019-12-11,289
2019-12-12,677
2019-12-13,1250
2019-12-14,341
2019-12-15,305
2019-12-16,263
2019-12-17,328
2019-12-18,294
2019-12-19,302
2019-12-20,326
2019-12-21,230
2019-12-22,237
2019-12-23,267
2019-12-24,213
2019-12-25,189
2019-12-26,194
2019-12-27,229
2019-12-28,210
2019-12-29,239
2019-12-30,253
2019-12-31,294
2020-01-01,210
2020-01-02,218
2020-01-03,253
2020-01-04,264
2020-01-05,246
2020-01-06,265
2020-01-07,314
2020-01-08,332
2020-01-09,320
2020-01-10,311
2020-01-11,264
2020-01-12,246
2020-01-13,273
2020-01-14,255
2020-01-15,263
2020-01-16,334
2020-01-17,269
2020-01-18,239
2020-01-19,241
2020-01-20,266
2020-01-21,257
2020-01-22,319
2020-01-23,290
2020-01-24,305
2020-01-25,242
2020-01-26,373
2020-01-27,316
2020-01-28,341
2020-01-29,358
2020-01-30,399
2020-01-31,1106
2020-02-01,452
2020-02-02,310
2020-02-03,280
2020-02-04,294
2020-02-05,305
2020-02-06,306
2020-02-07,267
2020-02-08,254
2020-02-09,278
2020-02-10,262
