day,ntweets
2019-06-01,108924
2019-06-02,110822
2019-06-03,111007
2019-06-04,115972
2019-06-05,112268
2019-06-06,113850
2019-06-07,115787
2019-06-08,100587
2019-06-09,96524
2019-06-10,106033
2019-06-11,107820
2019-06-12,114949
2019-06-13,114171
2019-06-14,108223
2019-06-15,89413
2019-06-16,102690
2019-06-17,103546
2019-06-18,113596
2019-06-19,113012
2019-06-20,111402
2019-06-21,107484
2019-06-22,86162
2019-06-23,94397
2019-06-24,104958
2019-06-25,112185
2019-06-26,106413
2019-06-27,101882
2019-06-28,99760
2019-06-29,84595
2019-06-30,93871
2019-07-01,100889
2019-07-02,126601
2019-07-03,114696
2019-07-04,108292
2019-07-05,101128
2019-07-06,85739
2019-07-07,92528
2019-07-08,101274
2019-07-09,119159
2019-07-10,116030
2019-07-11,100334
2019-07-12,85782
2019-07-13,87447
2019-07-14,101892
2019-07-15,101551
2019-07-16,110759
2019-07-17,105406
2019-07-18,107674
2019-07-19,104685
2019-07-20,86255
2019-07-21,91238
2019-07-22,99838
2019-07-23,118254
2019-07-24,116818
2019-07-25,111596
2019-07-26,105483
2019-07-27,94694
2019-07-28,94115
2019-07-29,104471
2019-07-30,104812
2019-07-31,101863
2019-08-01,105264
2019-08-02,105308
2019-08-03,92362
2019-08-04,95672
2019-08-05,103522
2019-08-06,109153
2019-08-07,112774
2019-08-08,117568
2019-08-09,110594
2019-08-10,101614
2019-08-11,98062
2019-08-12,99035
2019-08-13,102242
2019-08-14,111874
2019-08-15,110316
2019-08-16,108428
2019-08-17,101215
2019-08-18,95190
2019-08-19,102646
2019-08-20,104612
2019-08-21,106301
2019-08-22,103483
2019-08-23,100767
2019-08-24,97405
2019-08-25,91501
2019-08-26,91443
2019-08-27,111426
2019-08-28,127058
2019-08-29,114546
2019-08-30,104174
2019-08-31,105328
2019-09-01,99473
2019-09-02,106676
2019-09-03,115592
2019-09-04,118814
2019-09-05,113387
2019-09-06,113621
2019-09-07,99799
2019-09-08,93346
2019-09-09,107455
2019-09-10,108228
2019-09-11,109211
2019-09-12,104690
2019-09-13,98358
2019-09-14,96076
2019-09-15,94903
2019-09-16,100480
2019-09-17,104666
2019-09-18,107128
2019-09-19,100753
2019-09-20,96928
2019-09-21,97147
2019-09-22,106700
2019-09-23,120108
2019-09-24,137215
2019-09-25,124221
2019-09-26,116322
2019-09-27,108905
2019-09-28,98548
2019-09-29,99624
2019-09-30,108092
2019-10-01,111066
2019-10-02,97210
2019-10-03,105965
2019-10-04,102870
2019-10-05,100631
2019-10-06,104977
2019-10-07,106316
2019-10-08,110321
2019-10-09,106880
2019-10-10,120157
2019-10-11,106720
2019-10-12,93204
2019-10-13,96650
2019-10-14,107440
2019-10-15,103892
2019-10-16,105191
2019-10-17,113158
2019-10-18,109747
2019-10-19,112351
2019-10-20,106608
2019-10-21,106467
2019-10-22,110307
2019-10-23,109328
2019-10-24,109971
2019-10-25,106909
2019-10-26,99945
2019-10-27,103551
2019-10-28,102393
2019-10-29,113251
2019-10-30,119631
2019-10-31,109810
2019-11-01,107328
2019-11-02,115018
2019-11-03,105610
2019-11-04,103916
2019-11-05,115266
2019-11-06,115441
2019-11-07,110195
2019-11-08,101717
2019-11-09,103366
2019-11-10,101926
2019-11-11,102456
2019-11-12,104140
2019-11-13,107347
2019-11-14,112307
2019-11-15,104719
2019-11-16,93399
2019-11-17,94032
2019-11-18,98830
2019-11-19,118634
2019-11-20,110861
2019-11-21,111037
2019-11-22,112959
2019-11-23,107688
2019-11-24,105415
2019-11-25,112497
2019-11-26,114735
2019-11-27,124036
2019-11-28,118113
2019-11-29,112253
2019-11-30,98130
2019-12-01,107328
2019-12-02,108881
2019-12-03,108603
2019-12-04,118497
2019-12-05,118692
2019-12-06,114935
2019-12-07,109411
2019-12-08,108992
2019-12-09,122318
2019-12-10,123311
2019-12-11,122337
