day,ntweets
2019-06-01,109
2019-06-02,136
2019-06-03,131
2019-06-04,151
2019-06-05,143
2019-06-06,142
2019-06-07,127
2019-06-08,107
2019-06-09,112
2019-06-10,127
2019-06-11,145
2019-06-12,148
2019-06-13,156
2019-06-14,126
2019-06-15,121
2019-06-16,126
2019-06-17,124
2019-06-18,157
2019-06-19,141
2019-06-20,164
2019-06-21,133
2019-06-22,116
2019-06-23,118
2019-06-24,133
2019-06-25,119
2019-06-26,124
2019-06-27,119
2019-06-28,106
2019-06-29,96
2019-06-30,140
2019-07-01,141
2019-07-02,154
2019-07-03,136
2019-07-04,149
2019-07-05,115
2019-07-06,117
2019-07-07,109
2019-07-08,114
2019-07-09,115
2019-07-10,114
2019-07-11,122
2019-07-12,98
2019-07-13,111
2019-07-14,111
2019-07-15,109
2019-07-16,135
2019-07-17,159
2019-07-18,196
2019-07-19,156
2019-07-20,117
2019-07-21,113
2019-07-22,132
2019-07-23,225
2019-07-24,221
2019-07-25,152
2019-07-26,147
2019-07-27,124
2019-07-28,133
2019-07-29,120
2019-07-30,119
2019-07-31,126
2019-08-01,128
2019-08-02,135
2019-08-03,129
2019-08-04,128
2019-08-05,143
2019-08-06,140
2019-08-07,131
2019-08-08,158
2019-08-09,142
2019-08-10,129
2019-08-11,116
2019-08-12,134
2019-08-13,139
2019-08-14,128
2019-08-15,152
2019-08-16,155
2019-08-17,101
2019-08-18,134
2019-08-19,142
2019-08-20,158
2019-08-21,156
2019-08-22,134
2019-08-23,137
2019-08-24,117
2019-08-25,116
2019-08-26,132
2019-08-27,154
2019-08-28,249
2019-08-29,183
2019-08-30,140
2019-08-31,129
2019-09-01,127
2019-09-02,163
2019-09-03,167
2019-09-04,154
2019-09-05,153
2019-09-06,136
2019-09-07,129
2019-09-08,137
2019-09-09,162
2019-09-10,154
2019-09-11,155
2019-09-12,137
2019-09-13,131
2019-09-14,113
2019-09-15,149
2019-09-16,132
2019-09-17,114
2019-09-18,139
2019-09-19,131
2019-09-20,146
2019-09-21,129
2019-09-22,128
2019-09-23,158
2019-09-24,164
2019-09-25,156
2019-09-26,198
2019-09-27,159
2019-09-28,119
2019-09-29,142
2019-09-30,135
2019-10-01,138
2019-10-02,115
2019-10-03,116
2019-10-04,130
2019-10-05,115
2019-10-06,134
2019-10-07,135
2019-10-08,135
2019-10-09,139
2019-10-10,154
2019-10-11,146
2019-10-12,117
2019-10-13,132
2019-10-14,131
2019-10-15,156
2019-10-16,144
2019-10-17,130
2019-10-18,132
2019-10-19,133
2019-10-20,121
2019-10-21,133
2019-10-22,167
2019-10-23,142
2019-10-24,141
2019-10-25,145
2019-10-26,133
2019-10-27,125
2019-10-28,147
2019-10-29,151
2019-10-30,151
2019-10-31,222
2019-11-01,157
2019-11-02,137
2019-11-03,143
2019-11-04,137
2019-11-05,152
2019-11-06,144
2019-11-07,153
2019-11-08,107
2019-11-09,114
2019-11-10,94
2019-11-11,137
2019-11-12,138
2019-11-13,128
2019-11-14,145
2019-11-15,125
2019-11-16,93
2019-11-17,110
2019-11-18,123
2019-11-19,151
2019-11-20,135
2019-11-21,130
2019-11-22,115
2019-11-23,141
2019-11-24,117
2019-11-25,140
2019-11-26,148
2019-11-27,164
2019-11-28,158
2019-11-29,129
2019-11-30,121
2019-12-01,145
2019-12-02,118
2019-12-03,147
2019-12-04,144
2019-12-05,174
2019-12-06,168
2019-12-07,141
2019-12-08,154
2019-12-09,187
2019-12-10,205
2019-12-11,249
2019-12-12,681
2019-12-13,663
2019-12-14,154
2019-12-15,154
2019-12-16,114
2019-12-17,165
2019-12-18,145
2019-12-19,132
2019-12-20,120
2019-12-21,114
2019-12-22,128
2019-12-23,124
2019-12-24,110
2019-12-25,77
2019-12-26,103
2019-12-27,137
2019-12-28,118
2019-12-29,136
2019-12-30,152
2019-12-31,137
2020-01-01,124
2020-01-02,144
2020-01-03,171
2020-01-04,146
2020-01-05,168
2020-01-06,158
2020-01-07,140
2020-01-08,189
2020-01-09,171
2020-01-10,116
2020-01-11,123
2020-01-12,127
2020-01-13,160
2020-01-14,129
2020-01-15,145
2020-01-16,139
2020-01-17,134
2020-01-18,113
2020-01-19,108
2020-01-20,103
2020-01-21,136
2020-01-22,135
2020-01-23,144
2020-01-24,151
2020-01-25,106
2020-01-26,126
2020-01-27,120
2020-01-28,152
2020-01-29,149
2020-01-30,141
2020-01-31,200
2020-02-01,120
2020-02-02,130
2020-02-03,147
2020-02-04,135
2020-02-05,131
2020-02-06,156
2020-02-07,118
2020-02-08,116
2020-02-09,156
2020-02-10,137
2020-02-11,168
2020-02-12,143
2020-02-13,145
2020-02-14,136
2020-02-15,139
2020-02-16,171
2020-02-17,133
2020-02-18,125
2020-02-19,171
2020-02-20,160
2020-02-21,160
2020-02-22,134
2020-02-23,163
2020-02-24,130
2020-02-25,143
2020-02-26,166
2020-02-27,167
2020-02-28,131
2020-02-29,128
2020-03-01,127
2020-03-02,179
2020-03-03,147
2020-03-04,142
2020-03-05,147
2020-03-06,156
2020-03-07,147
2020-03-08,153
2020-03-09,192
2020-03-10,181
2020-03-11,186
2020-03-12,346
2020-03-13,297
2020-03-14,289
2020-03-15,337
2020-03-16,364
2020-03-17,371
2020-03-18,392
2020-03-19,393
2020-03-20,355
2020-03-21,320
2020-03-22,462
2020-03-23,511
2020-03-24,334
2020-03-25,266
2020-03-26,285
2020-03-27,258
2020-03-28,368
2020-03-29,301
2020-03-30,236
2020-03-31,238
2020-04-01,254
2020-04-02,245
2020-04-03,228
2020-04-04,228
2020-04-05,268
2020-04-06,262
2020-04-07,220
2020-04-08,212
2020-04-09,202
2020-04-10,195
2020-04-11,213
2020-04-12,189
2020-04-13,191
2020-04-14,196
2020-04-15,200
2020-04-16,185
2020-04-17,180
2020-04-18,196
2020-04-19,157
2020-04-20,154
2020-04-21,163
2020-04-22,192
2020-04-23,179
2020-04-24,183
2020-04-25,180
2020-04-26,189
2020-04-27,166
2020-04-28,185
2020-04-29,163
2020-04-30,182
2020-05-01,178
2020-05-02,183
2020-05-03,181
2020-05-04,192
2020-05-05,180
2020-05-06,217
2020-05-07,235
2020-05-08,199
2020-05-09,204
2020-05-10,321
2020-05-11,245
2020-05-12,247
2020-05-13,202
2020-05-14,196
2020-05-15,213
2020-05-16,184
2020-05-17,196
2020-05-18,167
2020-05-19,211
2020-05-20,207
2020-05-21,204
2020-05-22,190
2020-05-23,165
2020-05-24,214
2020-05-25,183
2020-05-26,182
2020-05-27,224
2020-05-28,191
2020-05-29,223
2020-05-30,199
2020-05-31,246
2020-06-01,260
2020-06-02,194
2020-06-03,156
2020-06-04,161
2020-06-05,151
2020-06-06,193
2020-06-07,201
2020-06-08,191
2020-06-09,196
2020-06-10,232
2020-06-11,234
2020-06-12,235
2020-06-13,223
2020-06-14,191
2020-06-15,210
2020-06-16,191
2020-06-17,211
2020-06-18,219
2020-06-19,214
2020-06-20,184
2020-06-21,204
2020-06-22,195
2020-06-23,207
2020-06-24,207
2020-06-25,210
2020-06-26,217
2020-06-27,154
2020-06-28,196
2020-06-29,171
2020-06-30,177
2020-07-01,192
2020-07-02,173
2020-07-03,213
2020-07-04,165
2020-07-05,161
2020-07-06,175
2020-07-07,192
2020-07-08,203
2020-07-09,190
2020-07-10,187
2020-07-11,169
2020-07-12,167
2020-07-13,198
2020-07-14,183
2020-07-15,174
2020-07-16,212
2020-07-17,176
2020-07-18,150
2020-07-19,174
2020-07-20,169
2020-07-21,190
2020-07-22,215
2020-07-23,202
2020-07-24,177
2020-07-25,166
2020-07-26,174
2020-07-27,175
2020-07-28,174
2020-07-29,156
2020-07-30,181
2020-07-31,176
2020-08-01,154
2020-08-02,166
2020-08-03,182
2020-08-04,194
2020-08-05,139
2020-08-06,200
2020-08-07,182
2020-08-08,143
2020-08-09,152
2020-08-10,178
2020-08-11,202
2020-08-12,209
2020-08-13,195
2020-08-14,185
2020-08-15,163
2020-08-16,185
2020-08-17,162
2020-08-18,205
2020-08-19,186
2020-08-20,183
2020-08-21,186
2020-08-22,168
2020-08-23,162
2020-08-24,166
2020-08-25,181
2020-08-26,176
2020-08-27,174
2020-08-28,162
2020-08-29,173
2020-08-30,171
2020-08-31,151
2020-09-01,169
2020-09-02,197
2020-09-03,160
2020-09-04,172
2020-09-05,139
2020-09-06,186
2020-09-07,189
2020-09-08,200
2020-09-09,168
2020-09-10,171
2020-09-11,173
2020-09-12,158
2020-09-13,166
2020-09-14,150
2020-09-15,187
2020-09-16,161
2020-09-17,157
2020-09-18,189
2020-09-19,196
2020-09-20,183
2020-09-21,181
2020-09-22,187
2020-09-23,181
2020-09-24,205
2020-09-25,177
2020-09-26,157
2020-09-27,171
2020-09-28,183
2020-09-29,173
2020-09-30,196
2020-10-01,183
2020-10-02,154
2020-10-03,158
2020-10-04,202
2020-10-05,213
2020-10-06,187
2020-10-07,188
2020-10-08,187
2020-10-09,179
2020-10-10,159
2020-10-11,160
2020-10-12,202
2020-10-13,171
2020-10-14,159
2020-10-15,161
2020-10-16,180
2020-10-17,161
2020-10-18,159
2020-10-19,170
2020-10-20,213
2020-10-21,205
2020-10-22,172
2020-10-23,183
2020-10-24,196
2020-10-25,166
2020-10-26,187
2020-10-27,189
2020-10-28,190
2020-10-29,197
2020-10-30,214
2020-10-31,292
2020-11-01,188
2020-11-02,209
2020-11-03,315
2020-11-04,323
2020-11-05,230
2020-11-06,193
2020-11-07,175
2020-11-08,144
2020-11-09,195
2020-11-10,184
2020-11-11,175
2020-11-12,178
2020-11-13,158
2020-11-14,152
2020-11-15,150
2020-11-16,200
2020-11-17,180
2020-11-18,164
2020-11-19,184
2020-11-20,176
2020-11-21,154
2020-11-22,152
2020-11-23,170
2020-11-24,161
2020-11-25,158
2020-11-26,161
2020-11-27,188
2020-11-28,159
2020-11-29,167
2020-11-30,182
2020-12-01,174
2020-12-02,185
2020-12-03,166
2020-12-04,160
2020-12-05,144
2020-12-06,145
2020-12-07,173
2020-12-08,158
2020-12-09,168
2020-12-10,186
2020-12-11,184
2020-12-12,156
2020-12-13,148
2020-12-14,174
2020-12-15,168
2020-12-16,171
2020-12-17,164
2020-12-18,164
2020-12-19,207
2020-12-20,177
2020-12-21,182
2020-12-22,136
2020-12-23,167
2020-12-24,122
2020-12-25,88
2020-12-26,118
2020-12-27,168
2020-12-28,153
2020-12-29,195
2020-12-30,229
2020-12-31,177
2021-01-01,174
2021-01-02,196
2021-01-03,232
2021-01-04,286
2021-01-05,199
2021-01-06,276
2021-01-07,189
2021-01-08,225
2021-01-09,184
2021-01-10,162
2021-01-11,209
2021-01-12,187
2021-01-13,196
2021-01-14,170
2021-01-15,186
2021-01-16,174
2021-01-17,163
2021-01-18,165
2021-01-19,230
2021-01-20,172
2021-01-21,173
2021-01-22,170
2021-01-23,155
2021-01-24,211
2021-01-25,173
2021-01-26,197
2021-01-27,197
2021-01-28,171
2021-01-29,190
2021-01-30,174
2021-01-31,136
2021-02-01,181
2021-02-02,176
2021-02-03,187
2021-02-04,168
2021-02-05,145
2021-02-06,167
2021-02-07,141
2021-02-08,169
2021-02-09,185
2021-02-10,158
2021-02-11,168
2021-02-12,174
2021-02-13,162
2021-02-14,154
2021-02-15,158
2021-02-16,166
2021-02-17,181
2021-02-18,168
2021-02-19,174
2021-02-20,170
2021-02-21,172
2021-02-22,222
2021-02-23,217
2021-02-24,202
2021-02-25,184
2021-02-26,181
2021-02-27,163
2021-02-28,135
2021-03-01,158
2021-03-02,154
2021-03-03,201
2021-03-04,192
2021-03-05,177
2021-03-06,155
2021-03-07,170
2021-03-08,195
2021-03-09,158
2021-03-10,259
2021-03-11,279
2021-03-12,304
2021-03-13,228
2021-03-14,209
2021-03-15,198
2021-03-16,212
2021-03-17,200
2021-03-18,168
2021-03-19,159
2021-03-20,181
2021-03-21,158
2021-03-22,171
2021-03-23,176
2021-03-24,158
2021-03-25,191
2021-03-26,165
2021-03-27,147
2021-03-28,144
2021-03-29,165
2021-03-30,179
2021-03-31,155
2021-04-01,169
2021-04-02,174
2021-04-03,128
2021-04-04,151
2021-04-05,150
2021-04-06,176
2021-04-07,205
2021-04-08,188
2021-04-09,171
2021-04-10,162
2021-04-11,177
2021-04-12,159
2021-04-13,167
2021-04-14,144
2021-04-15,165
2021-04-16,175
2021-04-17,119
2021-04-18,140
2021-04-19,142
2021-04-20,171
2021-04-21,141
2021-04-22,156
2021-04-23,122
2021-04-24,148
2021-04-25,150
2021-04-26,144
2021-04-27,174
2021-04-28,154
2021-04-29,173
2021-04-30,140
2021-05-01,137
2021-05-02,146
2021-05-03,147
2021-05-04,146
2021-05-05,184
2021-05-06,183
2021-05-07,174
2021-05-08,140
2021-05-09,148
2021-05-10,180
2021-05-11,157
2021-05-12,173
2021-05-13,154
2021-05-14,178
2021-05-15,147
2021-05-16,153
2021-05-17,154
2021-05-18,196
2021-05-19,168
2021-05-20,193
2021-05-21,169
2021-05-22,221
2021-05-23,133
2021-05-24,144
2021-05-25,146
2021-05-26,181
2021-05-27,163
2021-05-28,139
2021-05-29,118
2021-05-30,103
2021-05-31,125
2021-06-01,153
2021-06-02,146
2021-06-03,153
2021-06-04,178
2021-06-05,138
2021-06-06,173
2021-06-07,147
2021-06-08,152
2021-06-09,138
2021-06-10,139
2021-06-11,165
2021-06-12,135
2021-06-13,134
2021-06-14,156
2021-06-15,168
2021-06-16,160
2021-06-17,165
2021-06-18,135
2021-06-19,129
2021-06-20,121
2021-06-21,148
2021-06-22,134
2021-06-23,141
2021-06-24,155
2021-06-25,136
2021-06-26,109
2021-06-27,142
2021-06-28,166
2021-06-29,184
2021-06-30,160
2021-07-01,137
2021-07-02,138
2021-07-03,134
2021-07-04,183
2021-07-05,221
2021-07-06,209
2021-07-07,204
