day,ntweets
2019-06-01,1854824
2019-06-02,1723395
2019-06-03,1934575
2019-06-04,1963809
2019-06-05,1935983
2019-06-06,1961076
2019-06-07,1968612
2019-06-08,1633706
2019-06-09,1668322
2019-06-10,1833209
2019-06-11,1890103
2019-06-12,1933913
2019-06-13,2007453
2019-06-14,1924223
2019-06-15,1578385
2019-06-16,1697391
2019-06-17,1724057
2019-06-18,1962650
2019-06-19,1934161
2019-06-20,1921490
2019-06-21,1965879
2019-06-22,1593209
2019-06-23,1628902
2019-06-24,1843395
2019-06-25,1944099
2019-06-26,1838426
2019-06-27,1874948
2019-06-28,1827494
2019-06-29,1597018
2019-06-30,1595279
2019-07-01,1766376
2019-07-02,2093084
2019-07-03,1957929
2019-07-04,1938219
2019-07-05,1854658
2019-07-06,1587826
2019-07-07,1568033
2019-07-08,1729606
2019-07-09,1884057
2019-07-10,1922567
2019-07-11,1742360
2019-07-12,1540124
2019-07-13,1561490
2019-07-14,1866335
2019-07-15,1745424
2019-07-16,1810848
2019-07-17,1885631
2019-07-18,1880662
2019-07-19,1861697
2019-07-20,1581366
2019-07-21,1550062
2019-07-22,1742028
2019-07-23,2047370
2019-07-24,1938053
2019-07-25,2048861
2019-07-26,1835031
2019-07-27,1622443
2019-07-28,1584679
2019-07-29,1774575
2019-07-30,1801490
2019-07-31,1794285
2019-08-01,1865672
2019-08-02,1835693
2019-08-03,1594865
2019-08-04,1635693
2019-08-05,1723561
2019-08-06,1815734
2019-08-07,1883312
2019-08-08,2007453
2019-08-09,1908902
2019-08-10,1747412
2019-08-11,1673291
2019-08-12,1673954
2019-08-13,1736728
2019-08-14,1872795
2019-08-15,1866749
2019-08-16,1836273
2019-08-17,1679585
2019-08-18,1620207
2019-08-19,1759254
2019-08-20,1758260
2019-08-21,1813002
2019-08-22,1813333
2019-08-23,1793706
2019-08-24,1672298
2019-08-25,1588488
2019-08-26,1573167
2019-08-27,1755527
2019-08-28,2033540
2019-08-29,1890103
2019-08-30,1842318
2019-08-31,1791966
