day,male,female
2020-10-30,1236,668
2020-10-31,1514,783
2020-11-01,1223,631
2020-11-02,1265,680
2020-11-03,1395,744
2020-11-04,1351,768
2020-11-05,1289,703
2020-11-06,1317,684
2020-11-07,1201,651
2020-11-08,1133,573
2020-11-09,1230,649
2020-11-10,1199,684
2020-11-11,1203,663
2020-11-12,1275,692
2020-11-13,1201,616
2020-11-14,987,522
2020-11-15,1054,563
2020-11-16,1141,646
2020-11-17,1181,627
2020-11-18,1245,652
2020-11-19,1232,665
2020-11-20,1232,697
2020-11-21,1076,538
2020-11-22,1062,542
2020-11-23,1122,655
2020-11-24,1229,645
2020-11-25,1221,716
2020-11-26,1162,645
2020-11-27,1113,594
2020-11-28,1067,523
2020-11-29,1121,588
2020-11-30,1128,657
2020-12-01,1174,667
2020-12-02,1261,661
2020-12-03,1151,627
2020-12-04,1118,577
2020-12-05,998,496
2020-12-06,981,529
2020-12-07,1074,585
2020-12-08,1234,635
2020-12-09,1141,603
2020-12-10,1133,603
2020-12-11,1123,556
2020-12-12,1056,540
2020-12-13,1050,547
2020-12-14,1185,593
2020-12-15,1220,632
2020-12-16,1278,655
2020-12-17,1220,611
2020-12-18,1192,612
2020-12-19,1340,662
2020-12-20,1227,609
2020-12-21,1346,668
2020-12-22,1192,618
2020-12-23,1235,632
2020-12-24,1000,492
2020-12-25,541,264
2020-12-26,835,390
2020-12-27,900,492
2020-12-28,1006,535
2020-12-29,1138,576
2020-12-30,1237,674
2020-12-31,1116,590
2021-01-01,976,523
2021-01-02,1116,605
2021-01-03,1147,623
2021-01-04,1485,819
2021-01-05,1319,741
2021-01-06,1515,828
2021-01-07,1378,720
2021-01-08,1366,684
2021-01-09,1205,593
2021-01-10,1176,627
2021-01-11,1273,698
2021-01-12,1428,735
2021-01-13,1365,708
2021-01-14,1314,672
2021-01-15,1244,671
2021-01-16,1120,591
2021-01-17,1082,613
2021-01-18,1247,654
2021-01-19,1266,686
2021-01-20,1322,697
2021-01-21,1285,642
2021-01-22,1307,717
2021-01-23,1148,540
2021-01-24,1162,614
2021-01-25,1242,608
2021-01-26,1352,684
2021-01-27,1365,710
2021-01-28,1292,696
2021-01-29,1257,678
2021-01-30,1100,536
2021-01-31,1061,525
2021-02-01,1218,602
2021-02-02,1305,669
2021-02-03,1268,667
2021-02-04,1289,686
2021-02-05,1177,673
2021-02-06,1162,541
2021-02-07,1157,567
2021-02-08,1215,617
2021-02-09,1164,640
2021-02-10,1233,660
2021-02-11,1234,696
2021-02-12,1269,627
2021-02-13,1178,581
2021-02-14,1114,530
2021-02-15,1154,601
2021-02-16,1247,646
2021-02-17,1183,651
2021-02-18,1169,636
2021-02-19,1187,620
2021-02-20,1108,566
2021-02-21,1077,567
2021-02-22,1245,689
2021-02-23,1218,656
2021-02-24,1226,635
2021-02-25,1194,582
2021-02-26,1206,620
2021-02-27,991,548
2021-02-28,1061,528
2021-03-01,1141,609
2021-03-02,1128,615
2021-03-03,1306,646
2021-03-04,1282,659
2021-03-05,1186,593
2021-03-06,1067,534
2021-03-07,1122,567
2021-03-08,1259,684
2021-03-09,1194,654
2021-03-10,1212,804
2021-03-11,1286,738
2021-03-12,1255,726
2021-03-13,1152,621
2021-03-14,1121,625
2021-03-15,1212,622
2021-03-16,1280,675
2021-03-17,1285,712
2021-03-18,1234,641
2021-03-19,1243,598
2021-03-20,1114,533
2021-03-21,1176,561
2021-03-22,1212,639
2021-03-23,1200,662
2021-03-24,1123,647
2021-03-25,1192,634
2021-03-26,1208,619
2021-03-27,1023,560
2021-03-28,987,508
2021-03-29,1020,566
2021-03-30,1093,544
2021-03-31,1097,618
2021-04-01,1099,593
2021-04-02,1026,534
2021-04-03,954,492
2021-04-04,909,454
2021-04-05,963,533
2021-04-06,1072,594
2021-04-07,1162,644
2021-04-08,1144,646
2021-04-09,1084,609
2021-04-10,1016,528
2021-04-11,1015,538
2021-04-12,1060,596
2021-04-13,1110,595
2021-04-14,1124,607
2021-04-15,1061,609
2021-04-16,1089,564
2021-04-17,826,422
2021-04-18,1009,490
2021-04-19,1214,619
2021-04-20,1443,678
2021-04-21,1172,586
2021-04-22,1065,613
2021-04-23,1060,603
2021-04-24,926,466
2021-04-25,999,467
2021-04-26,1064,544
2021-04-27,1154,559
2021-04-28,1147,588
2021-04-29,1122,598
2021-04-30,1070,589
2021-05-01,849,455
2021-05-02,859,489
2021-05-03,902,533
2021-05-04,1125,584
2021-05-05,1125,605
2021-05-06,1176,608
2021-05-07,1130,610
2021-05-08,1149,559
2021-05-09,997,538
2021-05-10,1130,627
2021-05-11,1209,635
2021-05-12,1183,627
2021-05-13,1264,634
2021-05-14,1223,661
2021-05-15,1023,548
2021-05-16,1009,545
2021-05-17,1125,626
2021-05-18,1132,643
2021-05-19,1216,625
2021-05-20,1172,665
2021-05-21,1167,600
2021-05-22,1049,568
2021-05-23,1009,547
2021-05-24,1091,579
2021-05-25,1108,629
2021-05-26,1219,656
2021-05-27,1068,577
2021-05-28,1020,535
2021-05-29,895,459
2021-05-30,786,424
2021-05-31,909,447
2021-06-01,1006,542
2021-06-02,1048,558
2021-06-03,1069,618
2021-06-04,1009,567
2021-06-05,869,451
2021-06-06,918,493
2021-06-07,1048,530
2021-06-08,1109,651
2021-06-09,1112,612
2021-06-10,1204,632
2021-06-11,1132,594
2021-06-12,1026,516
2021-06-13,1011,509
2021-06-14,1129,595
2021-06-15,1176,660
2021-06-16,1181,642
2021-06-17,1170,612
2021-06-18,1270,609
2021-06-19,889,482
2021-06-20,924,513
2021-06-21,1085,592
2021-06-22,1167,600
2021-06-23,1102,628
2021-06-24,1110,621
2021-06-25,1114,590
2021-06-26,973,505
2021-06-27,885,475
2021-06-28,1151,674
2021-06-29,1207,662
2021-06-30,1136,641
2021-07-01,1092,618
2021-07-02,1168,595
2021-07-03,1007,544
2021-07-04,1010,557
2021-07-05,1151,663
2021-07-06,1280,713
2021-07-07,1388,737
