day,male,female
2020-10-30,1510,793
2020-10-31,1742,911
2020-11-01,1421,749
2020-11-02,1538,821
2020-11-03,1576,866
2020-11-04,1610,888
2020-11-05,1590,889
2020-11-06,1703,908
2020-11-07,1766,921
2020-11-08,1504,796
2020-11-09,1533,828
2020-11-10,1523,885
2020-11-11,1629,901
2020-11-12,1626,869
2020-11-13,1578,882
2020-11-14,1358,723
2020-11-15,1492,795
2020-11-16,1483,840
2020-11-17,1457,860
2020-11-18,1607,900
2020-11-19,1583,878
2020-11-20,1588,909
2020-11-21,1409,715
2020-11-22,1285,737
2020-11-23,1437,811
2020-11-24,1536,873
2020-11-25,1694,944
2020-11-26,1562,880
2020-11-27,1538,794
2020-11-28,1365,772
2020-11-29,1365,727
2020-11-30,1458,817
2020-12-01,1545,838
2020-12-02,1495,849
2020-12-03,1489,859
2020-12-04,1440,778
2020-12-05,1262,693
2020-12-06,1356,713
2020-12-07,1397,749
2020-12-08,1479,861
2020-12-09,1475,835
2020-12-10,1490,810
2020-12-11,1594,885
2020-12-12,1416,714
2020-12-13,1332,710
2020-12-14,1536,858
2020-12-15,1542,796
2020-12-16,1529,846
2020-12-17,1531,881
2020-12-18,1424,812
2020-12-19,1618,940
2020-12-20,1544,800
2020-12-21,1570,843
2020-12-22,1466,823
2020-12-23,1497,797
2020-12-24,1391,757
2020-12-25,862,513
2020-12-26,1194,557
2020-12-27,1213,648
2020-12-28,1283,740
2020-12-29,1337,750
2020-12-30,1554,856
2020-12-31,1628,858
2021-01-01,1358,694
2021-01-02,1402,722
2021-01-03,1442,765
2021-01-04,1756,973
2021-01-05,1651,861
2021-01-06,1737,956
2021-01-07,1566,830
2021-01-08,1639,881
2021-01-09,1491,748
2021-01-10,1437,762
2021-01-11,1599,911
2021-01-12,1643,845
2021-01-13,1719,880
2021-01-14,1602,868
2021-01-15,1604,897
2021-01-16,1422,762
2021-01-17,1357,786
2021-01-18,1531,822
2021-01-19,1588,900
2021-01-20,1699,946
2021-01-21,1619,917
2021-01-22,1646,849
2021-01-23,1435,767
2021-01-24,1446,747
2021-01-25,1509,831
2021-01-26,1679,939
2021-01-27,1746,946
2021-01-28,1555,896
2021-01-29,1509,878
2021-01-30,1423,767
2021-01-31,1337,783
2021-02-01,1492,839
2021-02-02,1740,985
2021-02-03,1582,888
2021-02-04,1574,933
2021-02-05,1550,835
2021-02-06,1459,730
2021-02-07,1382,760
2021-02-08,1461,789
2021-02-09,1492,861
2021-02-10,1519,830
2021-02-11,1549,858
2021-02-12,1510,848
2021-02-13,1412,715
2021-02-14,1403,697
2021-02-15,1428,801
2021-02-16,1500,838
2021-02-17,1480,827
2021-02-18,1527,868
2021-02-19,1573,807
2021-02-20,1401,717
2021-02-21,1402,758
2021-02-22,1547,821
2021-02-23,1538,815
2021-02-24,1464,794
2021-02-25,1484,806
2021-02-26,1491,803
2021-02-27,1318,692
2021-02-28,1354,731
2021-03-01,1401,800
2021-03-02,1526,811
2021-03-03,1595,882
2021-03-04,1587,855
2021-03-05,1548,829
2021-03-06,1346,705
2021-03-07,1383,706
2021-03-08,1510,901
2021-03-09,1448,869
2021-03-10,1567,975
2021-03-11,1527,926
2021-03-12,1537,879
2021-03-13,1460,800
2021-03-14,1475,840
2021-03-15,1432,809
2021-03-16,1479,859
2021-03-17,1550,842
2021-03-18,1551,877
2021-03-19,1523,808
2021-03-20,1358,693
2021-03-21,1402,687
2021-03-22,1488,829
2021-03-23,1616,943
2021-03-24,1536,839
2021-03-25,1448,855
2021-03-26,1497,804
2021-03-27,1242,672
2021-03-28,1256,702
2021-03-29,1305,758
2021-03-30,1367,760
2021-03-31,1401,782
2021-04-01,1358,798
2021-04-02,1261,675
2021-04-03,1199,643
2021-04-04,1075,606
2021-04-05,1306,744
2021-04-06,1388,856
2021-04-07,1408,858
2021-04-08,1482,831
2021-04-09,1786,1005
2021-04-10,1397,778
2021-04-11,1266,727
2021-04-12,1356,785
2021-04-13,1377,761
2021-04-14,1327,766
2021-04-15,1422,803
2021-04-16,1421,849
2021-04-17,1134,640
2021-04-18,1257,656
2021-04-19,1451,779
2021-04-20,1489,766
2021-04-21,1414,780
2021-04-22,1354,774
2021-04-23,1305,720
2021-04-24,1230,623
2021-04-25,1172,681
2021-04-26,1338,731
2021-04-27,1392,795
2021-04-28,1501,819
2021-04-29,1452,839
2021-04-30,1375,787
2021-05-01,1140,592
2021-05-02,1125,669
2021-05-03,1178,678
2021-05-04,1455,807
2021-05-05,1399,766
2021-05-06,1433,818
2021-05-07,1539,826
2021-05-08,1470,753
2021-05-09,1302,716
2021-05-10,1452,794
2021-05-11,1538,836
2021-05-12,1445,801
2021-05-13,1445,801
2021-05-14,1483,825
2021-05-15,1227,689
2021-05-16,1244,712
2021-05-17,1401,779
2021-05-18,1445,803
2021-05-19,1412,795
2021-05-20,1433,798
2021-05-21,1352,787
2021-05-22,1326,762
2021-05-23,1276,708
2021-05-24,1265,758
2021-05-25,1370,782
2021-05-26,1541,848
2021-05-27,1398,817
2021-05-28,1288,722
2021-05-29,1128,619
2021-05-30,1006,562
2021-05-31,1082,588
2021-06-01,1191,695
2021-06-02,1312,774
2021-06-03,1326,796
2021-06-04,1288,721
2021-06-05,1064,591
2021-06-06,1114,642
2021-06-07,1277,704
2021-06-08,1357,776
2021-06-09,1369,784
2021-06-10,1455,835
2021-06-11,1416,776
2021-06-12,1197,685
2021-06-13,1160,662
2021-06-14,1465,851
2021-06-15,1410,775
2021-06-16,1526,845
2021-06-17,1453,783
2021-06-18,1559,846
2021-06-19,1229,651
2021-06-20,1189,675
2021-06-21,1464,760
2021-06-22,1452,786
2021-06-23,1379,800
2021-06-24,1401,814
2021-06-25,1446,833
2021-06-26,1467,795
2021-06-27,1219,672
2021-06-28,1492,830
2021-06-29,1605,848
2021-06-30,1466,815
2021-07-01,1398,782
2021-07-02,1479,783
2021-07-03,1232,680
2021-07-04,1189,686
2021-07-05,1476,832
2021-07-06,1530,846
2021-07-07,1672,910
