day,male,female
2020-10-30,6265,3280
2020-10-31,6118,3242
2020-11-01,6000,3097
2020-11-02,6101,3464
2020-11-03,6341,3323
2020-11-04,6216,3350
2020-11-05,6520,3377
2020-11-06,6528,3460
2020-11-07,6072,3328
2020-11-08,5934,3008
2020-11-09,6557,3510
2020-11-10,6605,3434
2020-11-11,6706,3477
2020-11-12,6780,3470
2020-11-13,6697,3441
2020-11-14,5745,3035
2020-11-15,5897,3001
2020-11-16,6160,3224
2020-11-17,6577,3417
2020-11-18,6450,3388
2020-11-19,6650,3444
2020-11-20,6831,3545
2020-11-21,5781,2957
2020-11-22,5542,2961
2020-11-23,6382,3353
2020-11-24,6587,3376
2020-11-25,6535,3353
2020-11-26,6665,3594
2020-11-27,6747,3394
2020-11-28,5660,2862
2020-11-29,5579,2906
2020-11-30,6267,3430
2020-12-01,6594,3407
2020-12-02,6861,3471
2020-12-03,6727,3434
2020-12-04,6189,3508
2020-12-05,5746,2987
2020-12-06,5581,2699
2020-12-07,6345,3216
2020-12-08,6377,3196
2020-12-09,6381,3356
2020-12-10,6633,3551
2020-12-11,6672,3391
2020-12-12,5866,3073
2020-12-13,5610,2852
2020-12-14,6218,3251
2020-12-15,6194,3150
2020-12-16,6349,3496
2020-12-17,6637,3409
2020-12-18,6373,3216
2020-12-19,5874,2966
2020-12-20,5775,3039
2020-12-21,6183,3252
2020-12-22,6182,3193
2020-12-23,6008,3138
2020-12-24,6240,3173
2020-12-25,5436,2766
2020-12-26,5119,2541
2020-12-27,5399,2712
2020-12-28,5207,2710
2020-12-29,5516,2724
2020-12-30,5970,3031
2020-12-31,6561,3281
2021-01-01,6104,3075
2021-01-02,5363,2636
2021-01-03,5499,2859
2021-01-04,6399,3434
2021-01-05,6286,3136
2021-01-06,6355,3406
2021-01-07,6252,3426
2021-01-08,6555,3220
2021-01-09,6020,2985
2021-01-10,5575,2728
2021-01-11,6288,3340
2021-01-12,6635,3139
2021-01-13,6572,3429
2021-01-14,6595,3228
2021-01-15,6642,3329
