day,male,female
2019-06-01,26838,13596
2019-06-02,25980,15529
2019-06-03,27264,17220
2019-06-04,28684,18321
2019-06-05,27514,17284
2019-06-06,29752,16635
2019-06-07,27837,16931
2019-06-08,22587,13504
2019-06-09,24107,14921
2019-06-10,25095,15711
2019-06-11,26648,17580
2019-06-12,28514,18504
2019-06-13,28574,19020
2019-06-14,26895,17622
2019-06-15,22998,14108
2019-06-16,24703,15742
2019-06-17,25471,16661
2019-06-18,30326,18120
2019-06-19,28183,17220
2019-06-20,28517,17580
2019-06-21,32525,18944
2019-06-22,23852,13238
2019-06-23,26048,15955
2019-06-24,26971,16999
2019-06-25,28232,16680
2019-06-26,26116,16984
2019-06-27,25117,15092
2019-06-28,24384,14192
2019-06-29,21102,12691
2019-06-30,22451,13983
2019-07-01,24137,15031
2019-07-02,31575,20042
2019-07-03,27146,17360
2019-07-04,27978,17542
2019-07-05,26508,14940
2019-07-06,22443,13755
2019-07-07,22367,13508
2019-07-08,24377,15191
2019-07-09,28179,16551
2019-07-10,29330,16372
2019-07-11,26120,15335
2019-07-12,21018,12042
2019-07-13,23533,12289
2019-07-14,30025,16585
2019-07-15,23974,14538
2019-07-16,25486,14671
2019-07-17,27043,16129
2019-07-18,29395,16889
2019-07-19,26044,16050
2019-07-20,22367,12524
2019-07-21,22546,13660
2019-07-22,25110,14804
2019-07-23,30029,17953
2019-07-24,30383,17892
2019-07-25,30637,17964
2019-07-26,27385,15689
2019-07-27,25395,14021
2019-07-28,24643,14344
2019-07-29,25486,14716
2019-07-30,27476,15563
2019-07-31,27784,15392
2019-08-01,28449,15844
2019-08-02,26891,14693
2019-08-03,25171,13265
2019-08-04,27526,15290
2019-08-05,28191,15563
2019-08-06,29600,15533
2019-08-07,29889,16471
2019-08-08,33365,16764
2019-08-09,29961,16069
2019-08-10,27613,14351
2019-08-11,26025,14579
2019-08-12,24050,15297
2019-08-13,26663,15225
2019-08-14,29068,16600
2019-08-15,29900,16498
2019-08-16,27104,15673
2019-08-17,26477,13003
2019-08-18,26709,14564
2019-08-19,26994,15529
2019-08-20,27112,15339
2019-08-21,27131,16061
2019-08-22,25816,15825
2019-08-23,27078,14200
2019-08-24,26261,12783
2019-08-25,25379,12843
2019-08-26,23009,12847
2019-08-27,28020,15616
2019-08-28,33931,18925
2019-08-29,30113,17368
2019-08-30,27556,15924
2019-08-31,28912,13994
2019-09-01,28335,15772
2019-09-02,29836,17231
2019-09-03,31970,18504
2019-09-04,30762,17957
2019-09-05,29896,17603
2019-09-06,29870,16167
2019-09-07,26739,14671
2019-09-08,25702,14788
2019-09-09,27370,16847
2019-09-10,27249,17732
2019-09-11,28042,16912
2019-09-12,27347,16790
2019-09-13,25262,15180
2019-09-14,24099,13615
2019-09-15,25873,13994
2019-09-16,27142,15924
2019-09-17,27374,16650
2019-09-18,29330,17014
2019-09-19,26633,15947
2019-09-20,25702,14553
2019-09-21,25596,12737
2019-09-22,29577,15024
2019-09-23,30352,17170
2019-09-24,35222,18580
2019-09-25,35291,18135
2019-09-26,35059,18709
2019-09-27,31093,16612
2019-09-28,28210,14602
2019-09-29,27161,15711
2019-09-30,27704,15719
2019-10-01,29425,16346
2019-10-02,25330,14644
2019-10-03,26789,16076
2019-10-04,26409,14815
2019-10-05,26299,13934
2019-10-06,26793,14188
2019-10-07,27112,16448
2019-10-08,28669,16961
2019-10-09,26998,16224
2019-10-10,30800,20756
2019-10-11,27066,15837
2019-10-12,23081,14374
2019-10-13,25045,13994
2019-10-14,26641,15860
2019-10-15,25490,15765
2019-10-16,26029,15886
2019-10-17,28586,16479
2019-10-18,28145,17204
2019-10-19,30675,16437
2019-10-20,28058,15031
2019-10-21,25964,15947
2019-10-22,29034,16346
2019-10-23,26743,16255
2019-10-24,28787,17197
2019-10-25,28065,15742
