day,male,female
2019-06-01,48,33
2019-06-02,28,26
2019-06-03,32,29
2019-06-04,36,42
2019-06-05,26,42
2019-06-06,30,41
2019-06-07,31,29
2019-06-08,31,30
2019-06-09,38,36
2019-06-10,28,32
2019-06-11,27,46
2019-06-12,39,41
2019-06-13,27,42
2019-06-14,34,41
2019-06-15,37,26
2019-06-16,34,32
2019-06-17,41,30
2019-06-18,33,39
2019-06-19,34,35
2019-06-20,30,33
2019-06-21,37,24
2019-06-22,32,41
2019-06-23,53,35
2019-06-24,28,26
2019-06-25,34,31
2019-06-26,25,33
2019-06-27,26,25
2019-06-28,32,21
2019-06-29,32,21
2019-06-30,24,23
2019-07-01,36,25
2019-07-02,38,35
2019-07-03,39,45
2019-07-04,30,30
2019-07-05,27,28
2019-07-06,45,26
2019-07-07,30,44
2019-07-08,27,32
2019-07-09,28,35
2019-07-10,26,30
2019-07-11,43,19
2019-07-12,37,22
2019-07-13,31,33
2019-07-14,35,30
2019-07-15,29,32
2019-07-16,34,29
2019-07-17,45,30
2019-07-18,41,35
2019-07-19,34,32
2019-07-20,30,36
2019-07-21,33,37
2019-07-22,35,22
2019-07-23,32,29
2019-07-24,44,35
2019-07-25,27,38
2019-07-26,39,29
2019-07-27,33,23
2019-07-28,23,36
2019-07-29,28,34
2019-07-30,44,37
2019-07-31,33,32
2019-08-01,31,23
2019-08-02,35,35
2019-08-03,35,20
2019-08-04,39,30
2019-08-05,25,37
2019-08-06,39,30
2019-08-07,42,39
2019-08-08,35,22
2019-08-09,30,30
2019-08-10,40,27
2019-08-11,35,31
2019-08-12,32,28
2019-08-13,38,29
2019-08-14,32,28
2019-08-15,26,31
2019-08-16,32,31
2019-08-17,25,21
2019-08-18,34,28
2019-08-19,30,32
2019-08-20,23,23
2019-08-21,40,28
2019-08-22,32,32
2019-08-23,36,21
2019-08-24,36,32
2019-08-25,20,27
2019-08-26,31,24
2019-08-27,28,33
2019-08-28,32,37
2019-08-29,37,25
2019-08-30,37,20
2019-08-31,30,35
2019-09-01,35,27
2019-09-02,25,26
2019-09-03,42,25
2019-09-04,32,28
2019-09-05,45,21
2019-09-06,47,28
2019-09-07,34,33
2019-09-08,31,18
2019-09-09,44,41
2019-09-10,36,19
2019-09-11,31,30
2019-09-12,32,28
2019-09-13,26,23
2019-09-14,27,15
2019-09-15,26,22
2019-09-16,29,20
2019-09-17,34,30
2019-09-18,15,23
2019-09-19,37,16
2019-09-20,29,22
2019-09-21,34,25
2019-09-22,41,20
2019-09-23,30,26
2019-09-24,32,21
2019-09-25,32,31
2019-09-26,24,23
2019-09-27,31,21
2019-09-28,31,21
2019-09-29,24,24
2019-09-30,26,28
2019-10-01,38,29
2019-10-02,25,23
2019-10-03,29,19
2019-10-04,35,20
2019-10-05,30,26
2019-10-06,27,25
2019-10-07,36,27
2019-10-08,35,25
2019-10-09,31,19
2019-10-10,33,26
2019-10-11,30,25
2019-10-12,36,27
2019-10-13,31,22
2019-10-14,34,26
