day,male,female
2019-06-01,2,4
2019-06-02,8,8
2019-06-03,5,9
2019-06-04,6,5
2019-06-05,6,3
2019-06-06,3,7
2019-06-07,7,6
2019-06-08,5,7
2019-06-09,8,10
2019-06-10,7,6
2019-06-11,5,10
2019-06-12,8,9
2019-06-13,4,4
2019-06-14,7,12
2019-06-15,4,5
2019-06-16,7,6
2019-06-17,9,7
2019-06-18,15,8
2019-06-19,9,6
2019-06-20,7,7
2019-06-21,9,8
2019-06-22,3,7
2019-06-23,6,7
2019-06-24,9,9
2019-06-25,9,4
2019-06-26,9,5
2019-06-27,20,4
2019-06-28,7,5
2019-06-29,4,6
2019-06-30,4,7
2019-07-01,4,6
2019-07-02,15,7
2019-07-03,11,9
2019-07-04,3,13
2019-07-05,6,5
2019-07-06,5,3
2019-07-07,6,9
2019-07-08,5,6
2019-07-09,9,7
2019-07-10,5,14
2019-07-11,4,7
2019-07-12,5,5
2019-07-13,2,2
2019-07-14,5,8
2019-07-15,11,7
2019-07-16,2,13
2019-07-17,5,6
2019-07-18,6,6
2019-07-19,4,5
2019-07-20,6,4
2019-07-21,4,7
2019-07-22,7,6
2019-07-23,4,6
2019-07-24,8,7
2019-07-25,5,7
2019-07-26,4,6
2019-07-27,10,2
2019-07-28,7,4
2019-07-29,8,10
2019-07-30,10,7
2019-07-31,7,6
2019-08-01,2,9
2019-08-02,9,2
2019-08-03,8,5
2019-08-04,5,8
2019-08-05,7,6
2019-08-06,9,8
2019-08-07,12,10
2019-08-08,8,13
2019-08-09,5,5
2019-08-10,4,9
2019-08-11,5,4
2019-08-12,7,5
2019-08-13,6,6
2019-08-14,7,4
2019-08-15,9,7
2019-08-16,7,9
2019-08-17,9,6
2019-08-18,4,3
2019-08-19,4,5
2019-08-20,7,5
2019-08-21,7,8
2019-08-22,5,4
2019-08-23,6,6
2019-08-24,8,5
2019-08-25,6,10
2019-08-26,4,1
2019-08-27,6,7
2019-08-28,6,12
2019-08-29,9,9
2019-08-30,2,1
2019-08-31,10,11
2019-09-01,9,8
2019-09-02,4,3
2019-09-03,7,5
2019-09-04,10,6
2019-09-05,6,8
2019-09-06,5,3
2019-09-07,5,6
2019-09-08,7,7
2019-09-09,4,4
2019-09-10,4,7
2019-09-11,13,10
2019-09-12,5,7
2019-09-13,5,7
2019-09-14,6,7
2019-09-15,6,4
2019-09-16,6,10
2019-09-17,12,7
2019-09-18,6,4
2019-09-19,4,7
2019-09-20,7,7
2019-09-21,9,6
2019-09-22,13,8
2019-09-23,4,4
2019-09-24,7,8
2019-09-25,12,5
2019-09-26,8,12
2019-09-27,8,8
2019-09-28,13,7
2019-09-29,9,3
2019-09-30,11,8
2019-10-01,11,7
2019-10-02,13,5
2019-10-03,8,7
2019-10-04,6,6
2019-10-05,3,2
2019-10-06,7,6
2019-10-07,6,4
2019-10-08,8,4
2019-10-09,5,8
2019-10-10,4,9
2019-10-11,8,4
2019-10-12,5,7
2019-10-13,7,2
2019-10-14,2,9
2019-10-15,3,8
2019-10-16,6,12
2019-10-17,6,5
2019-10-18,12,10
2019-10-19,13,7
2019-10-20,10,8
2019-10-21,5,13
2019-10-22,11,6
2019-10-23,9,11
2019-10-24,6,11
2019-10-25,6,6
2019-10-26,6,4
2019-10-27,5,6
2019-10-28,10,8
2019-10-29,10,8
2019-10-30,5,9
2019-10-31,4,6
2019-11-01,8,8
2019-11-02,7,7
2019-11-03,5,5
2019-11-04,6,6
2019-11-05,8,9
2019-11-06,8,13
2019-11-07,6,4
2019-11-08,6,5
2019-11-09,11,5
2019-11-10,7,5
2019-11-11,8,8
2019-11-12,7,8
2019-11-13,9,11
2019-11-14,9,14
2019-11-15,9,9
2019-11-16,5,7
2019-11-17,6,10
2019-11-18,9,7
2019-11-19,8,10
2019-11-20,4,7
2019-11-21,7,11
2019-11-22,3,8
2019-11-23,7,4
2019-11-24,5,5
2019-11-25,12,6
2019-11-26,10,8
2019-11-27,7,9
2019-11-28,15,9
2019-11-29,9,16
2019-11-30,6,3
2019-12-01,2,3
2019-12-02,4,4
2019-12-03,4,3
2019-12-04,3,6
2019-12-05,12,11
2019-12-06,7,10
