day,male,female
2019-06-01,407,344
2019-06-02,316,331
2019-06-03,287,306
2019-06-04,300,281
2019-06-05,324,276
2019-06-06,291,297
2019-06-07,355,325
2019-06-08,287,274
2019-06-09,264,227
2019-06-10,295,272
2019-06-11,327,289
2019-06-12,303,274
2019-06-13,341,312
2019-06-14,356,309
2019-06-15,207,245
2019-06-16,260,244
2019-06-17,278,231
2019-06-18,286,254
2019-06-19,270,300
2019-06-20,316,256
2019-06-21,308,294
2019-06-22,228,201
2019-06-23,257,200
2019-06-24,283,252
2019-06-25,265,251
2019-06-26,320,255
2019-06-27,344,293
2019-06-28,261,254
2019-06-29,236,241
2019-06-30,268,265
2019-07-01,280,261
2019-07-02,328,290
2019-07-03,277,287
2019-07-04,310,297
2019-07-05,315,278
2019-07-06,239,202
2019-07-07,233,225
2019-07-08,284,242
2019-07-09,299,255
2019-07-10,318,278
2019-07-11,278,232
2019-07-12,268,205
2019-07-13,243,202
2019-07-14,339,257
2019-07-15,317,274
2019-07-16,276,244
2019-07-17,285,241
2019-07-18,307,243
2019-07-19,319,293
2019-07-20,261,214
2019-07-21,263,266
2019-07-22,304,233
2019-07-23,328,254
2019-07-24,318,246
2019-07-25,339,258
2019-07-26,319,260
2019-07-27,285,228
2019-07-28,260,247
2019-07-29,322,389
2019-07-30,290,241
2019-07-31,319,244
2019-08-01,350,312
2019-08-02,356,267
2019-08-03,258,221
2019-08-04,273,260
2019-08-05,291,261
2019-08-06,336,263
2019-08-07,355,261
2019-08-08,504,263
2019-08-09,377,321
2019-08-10,287,226
2019-08-11,308,238
2019-08-12,292,237
2019-08-13,277,258
2019-08-14,303,261
2019-08-15,295,278
2019-08-16,306,270
2019-08-17,292,209
2019-08-18,256,218
2019-08-19,260,226
2019-08-20,279,243
2019-08-21,312,249
2019-08-22,416,303
2019-08-23,281,272
2019-08-24,286,242
2019-08-25,295,210
2019-08-26,261,220
2019-08-27,320,270
2019-08-28,332,228
2019-08-29,345,266
2019-08-30,303,244
2019-08-31,311,250
2019-09-01,289,255
2019-09-02,314,249
2019-09-03,298,241
2019-09-04,345,245
2019-09-05,287,272
2019-09-06,316,286
2019-09-07,289,251
2019-09-08,265,234
2019-09-09,283,258
2019-09-10,271,300
2019-09-11,269,245
2019-09-12,273,252
2019-09-13,273,278
2019-09-14,293,226
2019-09-15,254,239
2019-09-16,311,261
2019-09-17,303,248
2019-09-18,289,262
2019-09-19,302,261
2019-09-20,281,254
2019-09-21,274,241
2019-09-22,305,242
2019-09-23,341,256
2019-09-24,369,314
2019-09-25,309,245
2019-09-26,303,237
2019-09-27,323,280
2019-09-28,255,237
2019-09-29,307,213
2019-09-30,275,230
2019-10-01,319,247
2019-10-02,227,245
2019-10-03,316,301
