day,male,female
2019-06-01,4,12
2019-06-02,9,9
2019-06-03,8,12
2019-06-04,15,15
2019-06-05,5,17
2019-06-06,9,5
2019-06-07,6,18
2019-06-08,11,9
2019-06-09,2,14
2019-06-10,4,12
2019-06-11,7,7
2019-06-12,6,10
2019-06-13,8,14
2019-06-14,11,11
2019-06-15,7,8
2019-06-16,3,8
2019-06-17,9,10
2019-06-18,5,9
2019-06-19,9,15
2019-06-20,8,14
2019-06-21,8,14
2019-06-22,10,9
2019-06-23,2,16
2019-06-24,10,10
2019-06-25,7,14
2019-06-26,6,14
2019-06-27,11,6
2019-06-28,10,8
2019-06-29,5,11
2019-06-30,4,12
2019-07-01,8,11
2019-07-02,10,6
2019-07-03,7,12
2019-07-04,5,5
2019-07-05,11,7
2019-07-06,7,8
2019-07-07,7,5
2019-07-08,7,7
2019-07-09,11,13
2019-07-10,14,17
2019-07-11,8,12
2019-07-12,7,8
2019-07-13,13,8
2019-07-14,7,9
2019-07-15,5,7
2019-07-16,8,15
2019-07-17,10,5
2019-07-18,6,7
2019-07-19,7,11
2019-07-20,4,6
2019-07-21,5,7
2019-07-22,8,8
2019-07-23,6,6
2019-07-24,9,8
2019-07-25,8,10
2019-07-26,3,4
2019-07-27,5,5
2019-07-28,4,10
2019-07-29,14,10
2019-07-30,13,8
2019-07-31,9,10
2019-08-01,11,10
2019-08-02,4,6
2019-08-03,4,11
2019-08-04,9,11
2019-08-05,5,8
2019-08-06,7,9
2019-08-07,9,6
2019-08-08,8,8
2019-08-09,5,4
2019-08-10,7,9
2019-08-11,4,8
2019-08-12,5,5
2019-08-13,7,8
2019-08-14,7,7
2019-08-15,3,17
2019-08-16,11,5
2019-08-17,7,4
2019-08-18,5,5
2019-08-19,5,5
2019-08-20,12,7
2019-08-21,5,13
2019-08-22,4,9
2019-08-23,6,8
2019-08-24,5,9
2019-08-25,8,8
2019-08-26,9,12
2019-08-27,7,9
2019-08-28,12,8
2019-08-29,7,11
2019-08-30,5,8
2019-08-31,4,13
2019-09-01,7,6
2019-09-02,8,13
2019-09-03,7,8
2019-09-04,6,11
2019-09-05,6,11
2019-09-06,7,11
2019-09-07,2,7
2019-09-08,7,5
2019-09-09,9,9
2019-09-10,6,16
2019-09-11,5,17
2019-09-12,3,11
2019-09-13,8,18
2019-09-14,5,7
2019-09-15,5,10
2019-09-16,6,10
2019-09-17,9,11
2019-09-18,6,10
2019-09-19,5,14
2019-09-20,12,12
2019-09-21,7,10
2019-09-22,5,8
2019-09-23,3,5
2019-09-24,4,24
2019-09-25,8,10
2019-09-26,5,11
2019-09-27,7,9
2019-09-28,7,12
2019-09-29,4,12
2019-09-30,7,6
2019-10-01,5,9
2019-10-02,11,3
2019-10-03,11,10
2019-10-04,11,15
2019-10-05,2,7
2019-10-06,10,8
2019-10-07,5,9
2019-10-08,7,20
2019-10-09,5,13
2019-10-10,5,13
2019-10-11,7,8
2019-10-12,11,10
2019-10-13,11,5
2019-10-14,11,9
2019-10-15,9,11
2019-10-16,3,14
2019-10-17,10,17
2019-10-18,8,4
2019-10-19,5,4
2019-10-20,8,8
2019-10-21,8,12
2019-10-22,5,8
2019-10-23,6,11
2019-10-24,8,10
2019-10-25,7,6
2019-10-26,8,5
2019-10-27,8,7
2019-10-28,6,4
2019-10-29,5,6
2019-10-30,7,11
2019-10-31,6,12
2019-11-01,3,7
2019-11-02,8,16
2019-11-03,8,14
2019-11-04,4,10
2019-11-05,8,8
2019-11-06,7,7
2019-11-07,9,16
2019-11-08,14,13
2019-11-09,7,13
2019-11-10,6,15
2019-11-11,6,7
2019-11-12,6,16
2019-11-13,8,12
2019-11-14,9,11
2019-11-15,16,9
2019-11-16,6,8
2019-11-17,5,7
2019-11-18,13,7
2019-11-19,9,11
2019-11-20,4,17
2019-11-21,6,13
2019-11-22,12,8
2019-11-23,7,14
2019-11-24,6,5
2019-11-25,5,4
2019-11-26,7,14
2019-11-27,5,9
2019-11-28,7,23
2019-11-29,6,10
2019-11-30,10,8
2019-12-01,3,9
2019-12-02,7,8
2019-12-03,9,9
2019-12-04,8,8
2019-12-05,10,14
2019-12-06,4,9
2019-12-07,4,8
2019-12-08,3,12
2019-12-09,6,5
2019-12-10,9,10
2019-12-11,9,12
2019-12-12,11,14
2019-12-13,15,17
2019-12-14,2,10
2019-12-15,1,5
2019-12-16,7,11
2019-12-17,6,10
2019-12-18,5,9
2019-12-19,8,9
2019-12-20,7,10
2019-12-21,7,7
2019-12-22,3,5
2019-12-23,3,4
2019-12-24,7,5
2019-12-25,6,1
2019-12-26,4,4
2019-12-27,4,5
2019-12-28,2,11
2019-12-29,3,12
2019-12-30,8,12
2019-12-31,4,9
2020-01-01,6,11
2020-01-02,2,8
2020-01-03,6,5
2020-01-04,4,9
2020-01-05,2,14
2020-01-06,5,12
2020-01-07,3,8
2020-01-08,11,6
2020-01-09,9,10
2020-01-10,6,9
2020-01-11,5,4
2020-01-12,6,6
2020-01-13,6,4
2020-01-14,7,10
2020-01-15,3,14
2020-01-16,6,11
2020-01-17,5,9
2020-01-18,8,10
2020-01-19,9,7
2020-01-20,16,9
2020-01-21,6,14
2020-01-22,9,7
2020-01-23,3,14
