day,male,female
2019-06-01,1,5
2019-06-02,6,10
2019-06-03,6,6
2019-06-04,4,5
2019-06-05,7,1
2019-06-06,6,6
2019-06-07,6,5
2019-06-08,2,15
2019-06-09,8,10
2019-06-10,4,6
2019-06-11,6,3
2019-06-12,3,5
2019-06-13,1,5
2019-06-14,7,11
2019-06-15,5,9
2019-06-16,5,7
2019-06-17,13,12
2019-06-18,9,8
2019-06-19,8,6
2019-06-20,7,13
2019-06-21,4,12
2019-06-22,4,5
2019-06-23,5,10
2019-06-24,5,6
2019-06-25,5,5
2019-06-26,2,8
2019-06-27,4,8
2019-06-28,4,5
2019-06-29,7,5
2019-06-30,3,7
2019-07-01,9,6
2019-07-02,4,8
2019-07-03,5,4
2019-07-04,2,8
2019-07-05,5,4
2019-07-06,6,3
2019-07-07,3,2
2019-07-08,3,4
2019-07-09,8,3
2019-07-10,5,5
2019-07-11,3,6
2019-07-12,0,3
2019-07-13,6,6
2019-07-14,8,8
2019-07-15,4,9
2019-07-16,10,6
2019-07-17,5,5
2019-07-18,4,6
2019-07-19,5,3
2019-07-20,4,6
2019-07-21,6,6
2019-07-22,3,4
2019-07-23,4,8
2019-07-24,1,3
2019-07-25,7,6
2019-07-26,4,6
2019-07-27,5,5
2019-07-28,6,5
2019-07-29,6,4
2019-07-30,7,9
2019-07-31,4,6
2019-08-01,6,8
2019-08-02,7,4
2019-08-03,9,8
2019-08-04,8,5
2019-08-05,6,12
2019-08-06,8,10
2019-08-07,4,6
2019-08-08,4,4
2019-08-09,8,6
2019-08-10,5,9
2019-08-11,3,9
2019-08-12,4,12
2019-08-13,5,5
2019-08-14,7,5
2019-08-15,5,6
2019-08-16,3,11
2019-08-17,5,4
2019-08-18,9,6
2019-08-19,1,5
2019-08-20,5,5
2019-08-21,6,6
2019-08-22,8,6
2019-08-23,5,6
2019-08-24,4,4
2019-08-25,4,7
2019-08-26,4,5
2019-08-27,3,5
2019-08-28,8,6
2019-08-29,1,4
2019-08-30,7,6
2019-08-31,2,11
2019-09-01,3,6
2019-09-02,6,4
2019-09-03,5,10
2019-09-04,6,5
2019-09-05,5,7
2019-09-06,7,10
2019-09-07,9,1
2019-09-08,1,11
2019-09-09,6,5
2019-09-10,4,8
2019-09-11,4,8
2019-09-12,4,8
2019-09-13,5,6
2019-09-14,7,10
2019-09-15,6,10
2019-09-16,6,5
2019-09-17,2,5
2019-09-18,4,4
2019-09-19,4,10
2019-09-20,2,4
2019-09-21,5,11
2019-09-22,8,11
2019-09-23,6,9
2019-09-24,5,6
2019-09-25,4,6
2019-09-26,1,8
2019-09-27,5,5
2019-09-28,3,8
2019-09-29,1,5
2019-09-30,6,8
2019-10-01,7,7
2019-10-02,6,6
2019-10-03,2,8
2019-10-04,5,9
2019-10-05,4,11
2019-10-06,9,8
2019-10-07,5,5
2019-10-08,4,12
2019-10-09,3,11
2019-10-10,8,6
2019-10-11,8,4
2019-10-12,4,4
2019-10-13,8,3
2019-10-14,6,4
2019-10-15,7,2
2019-10-16,6,8
2019-10-17,8,8
2019-10-18,13,7
2019-10-19,9,7
2019-10-20,5,2
2019-10-21,1,3
2019-10-22,5,10
2019-10-23,4,9
2019-10-24,4,3
2019-10-25,2,9
2019-10-26,1,5
2019-10-27,8,4
2019-10-28,4,7
2019-10-29,5,7
2019-10-30,3,9
2019-10-31,1,4
2019-11-01,5,6
2019-11-02,5,8
2019-11-03,5,3
2019-11-04,6,8
2019-11-05,3,8
2019-11-06,3,7
2019-11-07,4,5
2019-11-08,4,3
2019-11-09,7,11
2019-11-10,6,5
2019-11-11,5,3
2019-11-12,6,10
2019-11-13,4,9
2019-11-14,6,8
2019-11-15,7,5
2019-11-16,5,7
2019-11-17,6,7
2019-11-18,3,7
2019-11-19,5,4
2019-11-20,9,4
2019-11-21,6,7
2019-11-22,2,4
2019-11-23,3,10
2019-11-24,8,9
2019-11-25,7,11
2019-11-26,2,6
2019-11-27,3,5
2019-11-28,5,5
2019-11-29,2,5
2019-11-30,5,8
2019-12-01,10,4
2019-12-02,4,7
2019-12-03,11,5
2019-12-04,0,10
2019-12-05,5,3
2019-12-06,4,9
2019-12-07,6,6
2019-12-08,4,7
2019-12-09,3,12
2019-12-10,4,2
2019-12-11,7,6
2019-12-12,6,5
2019-12-13,7,7
2019-12-14,6,12
2019-12-15,5,4
2019-12-16,6,3
2019-12-17,8,10
2019-12-18,8,8
2019-12-19,2,6
2019-12-20,8,12
2019-12-21,4,5
2019-12-22,8,6
2019-12-23,2,11
2019-12-24,6,5
2019-12-25,7,20
2019-12-26,9,4
2019-12-27,3,8
2019-12-28,4,6
2019-12-29,6,12
2019-12-30,6,11
2019-12-31,5,6
2020-01-01,7,8
2020-01-02,7,12
2020-01-03,6,5
2020-01-04,7,4
2020-01-05,6,9
2020-01-06,1,6
2020-01-07,6,5
2020-01-08,9,8
2020-01-09,2,10
2020-01-10,8,5
2020-01-11,3,8
2020-01-12,2,11
2020-01-13,5,5
2020-01-14,5,7
2020-01-15,5,11
2020-01-16,9,7
2020-01-17,3,8
2020-01-18,7,6
2020-01-19,4,5
2020-01-20,5,6
2020-01-21,6,5
2020-01-22,5,1
2020-01-23,3,10
2020-01-24,6,8
2020-01-25,5,3
2020-01-26,4,8
2020-01-27,7,8
2020-01-28,5,7
2020-01-29,2,6
2020-01-30,6,5
2020-01-31,9,8
2020-02-01,6,7
2020-02-02,2,7
2020-02-03,13,10
2020-02-04,5,8
2020-02-05,5,6
2020-02-06,3,7
2020-02-07,9,6
2020-02-08,6,8
2020-02-09,8,6
2020-02-10,6,9
2020-02-11,7,10
2020-02-12,4,7
2020-02-13,6,16
2020-02-14,18,18
2020-02-15,7,7
2020-02-16,3,5
2020-02-17,5,10
2020-02-18,7,12
2020-02-19,4,6
2020-02-20,1,2
2020-02-21,5,6
2020-02-22,5,6
2020-02-23,4,10
2020-02-24,7,5
2020-02-25,9,4
2020-02-26,1,6
2020-02-27,2,5
2020-02-28,3,5
2020-02-29,4,10
2020-03-01,7,7
2020-03-02,5,6
2020-03-03,7,6
2020-03-04,6,5
2020-03-05,7,8
2020-03-06,8,4
2020-03-07,3,6
2020-03-08,4,5
2020-03-09,3,5
2020-03-10,3,6
2020-03-11,6,10
2020-03-12,5,9
2020-03-13,10,9
2020-03-14,2,9
2020-03-15,2,12
2020-03-16,6,12
2020-03-17,8,12
2020-03-18,11,23
2020-03-19,13,11
2020-03-20,7,17
2020-03-21,9,9
2020-03-22,11,13
2020-03-23,12,16
2020-03-24,7,19
2020-03-25,8,16
2020-03-26,10,26
2020-03-27,13,17
2020-03-28,14,17
