day,male,female
2019-06-01,298652,178288
2019-06-02,263670,174208
2019-06-03,266646,189391
2019-06-04,282264,198187
2019-06-05,282264,194842
2019-06-06,299421,190027
2019-06-07,290993,199591
2019-06-08,250359,165245
2019-06-09,252132,167218
2019-06-10,253770,174475
2019-06-11,269556,187719
2019-06-12,281495,192936
2019-06-13,286378,200662
2019-06-14,284906,190662
2019-06-15,244105,160462
2019-06-16,258386,177285
2019-06-17,248286,170429
2019-06-18,282398,185645
2019-06-19,283201,189826
2019-06-20,279422,190361
2019-06-21,291060,196281
2019-06-22,240393,155947
2019-06-23,239757,163038
2019-06-24,262466,178689
2019-06-25,278184,186013
2019-06-26,268653,180729
2019-06-27,266613,185913
2019-06-28,273000,183472
2019-06-29,243436,156382
2019-06-30,246145,162536
2019-07-01,256479,173104
2019-07-02,296846,194174
2019-07-03,276044,190127
2019-07-04,282632,192167
2019-07-05,276913,182669
2019-07-06,246747,156416
2019-07-07,233838,159258
2019-07-08,248152,169459
2019-07-09,271128,178723
2019-07-10,280358,181030
2019-07-11,255978,163238
2019-07-12,222835,146918
2019-07-13,242834,149894
2019-07-14,295642,173840
2019-07-15,257048,167151
2019-07-16,261362,167820
2019-07-17,272332,176616
2019-07-18,269489,181432
2019-07-19,272900,178321
2019-07-20,244005,149727
2019-07-21,233035,150831
2019-07-22,254774,165646
2019-07-23,294705,185010
2019-07-24,289756,176482
2019-07-25,296344,186950
2019-07-26,274706,179024
2019-07-27,254105,154844
2019-07-28,242767,153239
2019-07-29,249857,167051
2019-07-30,263536,170328
2019-07-31,270559,164910
2019-08-01,271830,174074
2019-08-02,279221,172101
2019-08-03,251730,147754
2019-08-04,250459,146951
2019-08-05,254807,158289
2019-08-06,273368,167920
2019-08-07,287749,172101
2019-08-08,312531,181231
2019-08-09,289889,174810
2019-08-10,272198,154142
2019-08-11,256178,159125
2019-08-12,237416,166917
2019-08-13,260292,164375
2019-08-14,276278,179291
2019-08-15,281930,180161
2019-08-16,273067,179124
2019-08-17,267516,147219
2019-08-18,249991,156984
2019-08-19,256646,170696
2019-08-20,255242,166348
2019-08-21,265676,173004
2019-08-22,260660,172034
2019-08-23,263703,174141
2019-08-24,263737,147854
2019-08-25,260258,145212
2019-08-26,236480,153673
2019-08-27,256646,165713
2019-08-28,299354,181264
2019-08-29,282264,172168
2019-08-30,274472,179258
2019-08-31,281529,161432
2019-09-01,269288,164141
2019-09-02,268218,170596
2019-09-03,281963,180930
2019-09-04,288619,184274
2019-09-05,282030,184408
2019-09-06,287783,181833
2019-09-07,262599,161131
2019-09-08,246446,157285
2019-09-09,257349,169091
2019-09-10,258820,171733
2019-09-11,268853,173405
2019-09-12,256613,179525
2019-09-13,261797,182201
2019-09-14,257817,157252
2019-09-15,254740,160730
2019-09-16,249790,169893
2019-09-17,266479,175044
2019-09-18,267850,178254
2019-09-19,265777,171365
2019-09-20,267649,182067
2019-09-21,273870,159961
2019-09-22,281662,161733
2019-09-23,276980,176850
2019-09-24,330055,200729
2019-09-25,306009,188990
2019-09-26,289823,187987
2019-09-27,286712,184575
2019-09-28,272633,162402
2019-09-29,255075,172101
2019-09-30,268720,168723
2019-10-01,281127,181164
2019-10-02,247416,159994
2019-10-03,266211,183438
2019-10-04,272231,176816
2019-10-05,275442,163640
2019-10-06,272198,163807
2019-10-07,254339,172134
2019-10-08,270325,177084
2019-10-09,267047,181766
2019-10-10,278050,196615
2019-10-11,274639,189191
2019-10-12,251797,162971
2019-10-13,246045,162201
2019-10-14,255543,169760
2019-10-15,249857,167118
2019-10-16,256814,177920
2019-10-17,287381,184308
2019-10-18,276880,187853
2019-10-19,293836,171633
2019-10-20,275609,163706
2019-10-21,255141,164877
2019-10-22,267917,166616
2019-10-23,257483,168288
2019-10-24,271930,175813
2019-10-25,271128,181097
2019-10-26,265676,161265
2019-10-27,251195,156583
2019-10-28,242199,158523
2019-10-29,268653,176081
2019-10-30,295107,182602
2019-10-31,285575,192033
2019-11-01,282231,187920
2019-11-02,293970,168790
2019-11-03,273469,168255
2019-11-04,255944,171766
2019-11-05,283870,181632
2019-11-06,283803,189090
2019-11-07,283100,182736
2019-11-08,275977,182100
2019-11-09,271663,173271
2019-11-10,264539,167318
2019-11-11,256580,169994
2019-11-12,266144,176482
2019-11-13,270793,189792
2019-11-14,288251,192769
2019-11-15,291328,195077
2019-11-16,257182,162369
2019-11-17,248653,165914
2019-11-18,249322,170997
2019-11-19,306946,200561
2019-11-20,286679,184007
2019-11-21,285843,193505
2019-11-22,291160,196949
2019-11-23,282766,168690
2019-11-24,272332,165713
2019-11-25,264205,179191
2019-11-26,286846,184676
2019-11-27,299254,195846
2019-11-28,288518,200762
2019-11-29,282565,190996
2019-11-30,260860,165345
2019-12-01,270526,180194
2019-12-02,256279,180361
2019-12-03,270325,185411
2019-12-04,291595,194207
2019-12-05,296311,202066
2019-12-06,286378,192234
2019-12-07,284706,169827
2019-12-08,266144,177318
2019-12-09,277783,182970
2019-12-10,289488,189926
2019-12-11,303902,203270
2019-12-12,401357,250961
2019-12-13,414467,252600
2019-12-14,294471,174576
2019-12-15,286010,171532
2019-12-16,266613,171031
2019-12-17,269422,179157
2019-12-18,275843,182100
2019-12-19,268486,184910
2019-12-20,276679,177117
2019-12-21,260325,151533
2019-12-22,242165,153004
2019-12-23,235844,156449
2019-12-24,269990,174676
2019-12-25,240058,162870
2019-12-26,219524,123407
2019-12-27,218788,127788
2019-12-28,232935,128791
2019-12-29,271061,146650
2019-12-30,242834,147854
2019-12-31,296478,198956
2020-01-01,324604,198990
2020-01-02,246212,154978
2020-01-03,250392,155713
2020-01-04,254473,148055
2020-01-05,259790,163874
2020-01-06,256279,161165
2020-01-07,264138,166583
2020-01-08,255075,170061
2020-01-09,270425,171231
2020-01-10,275609,173907
2020-01-11,286712,159660
2020-01-12,268720,160295
2020-01-13,253302,163907
2020-01-14,276713,175679
2020-01-15,268251,175646
2020-01-16,268853,180729
2020-01-17,271128,179726
2020-01-18,274405,157553
2020-01-19,270158,155713
2020-01-20,245008,167653
2020-01-21,268452,168991
2020-01-22,281495,172803
2020-01-23,275977,173806
2020-01-24,273970,180027
2020-01-25,247282,150897
2020-01-26,258452,159024
2020-01-27,257282,164576
2020-01-28,285341,173104
2020-01-29,296511,181632
2020-01-30,283100,180428
2020-01-31,344503,203504
2020-02-01,301662,164308
2020-02-02,277783,173472
2020-02-03,259188,171097
2020-02-04,256747,177485
2020-02-05,267047,174810
2020-02-06,259054,174977
2020-02-07,257951,171532
2020-02-08,262064,159258
2020-02-09,261462,170027
2020-02-10,251663,166382
2020-02-11,263402,169726
2020-02-12,271529,179057
2020-02-13,268619,174208
2020-02-14,291796,202535
2020-02-15,274907,177151
2020-02-16,259155,167285
2020-02-17,259188,173572
2020-02-18,262399,177084
2020-02-19,266914,180127
2020-02-20,266245,177084
2020-02-21,262298,181799
2020-02-22,265476,156784
2020-02-23,263770,162469
2020-02-24,247750,162971
2020-02-25,258452,172602
2020-02-26,263436,176883
2020-02-27,269322,175077
2020-02-28,273602,180094
2020-02-29,285174,160195
