day,male,female
2019-06-01,62,98
2019-06-02,66,124
2019-06-03,70,114
2019-06-04,103,137
2019-06-05,77,101
2019-06-06,63,119
2019-06-07,83,124
2019-06-08,82,112
2019-06-09,62,100
2019-06-10,70,86
2019-06-11,79,97
2019-06-12,58,84
2019-06-13,63,97
2019-06-14,76,116
2019-06-15,41,79
2019-06-16,47,92
2019-06-17,51,89
2019-06-18,62,115
2019-06-19,65,99
2019-06-20,60,122
2019-06-21,65,93
2019-06-22,48,74
2019-06-23,53,95
2019-06-24,61,105
2019-06-25,83,88
2019-06-26,70,110
2019-06-27,57,104
2019-06-28,64,101
2019-06-29,60,67
2019-06-30,44,106
2019-07-01,67,101
2019-07-02,64,137
2019-07-03,67,100
2019-07-04,85,81
2019-07-05,61,95
2019-07-06,57,82
2019-07-07,64,83
2019-07-08,70,83
2019-07-09,71,116
2019-07-10,70,110
2019-07-11,57,90
2019-07-12,54,82
2019-07-13,53,92
2019-07-14,64,93
2019-07-15,52,119
2019-07-16,65,110
2019-07-17,54,79
2019-07-18,81,111
2019-07-19,65,121
2019-07-20,69,67
2019-07-21,59,111
2019-07-22,64,89
2019-07-23,69,103
2019-07-24,83,88
2019-07-25,68,105
2019-07-26,87,95
2019-07-27,66,85
2019-07-28,58,76
2019-07-29,53,103
2019-07-30,75,77
2019-07-31,71,92
2019-08-01,68,104
2019-08-02,69,88
2019-08-03,61,75
2019-08-04,60,98
2019-08-05,80,91
2019-08-06,64,97
2019-08-07,92,97
2019-08-08,91,115
2019-08-09,69,92
2019-08-10,76,80
2019-08-11,63,86
2019-08-12,52,90
2019-08-13,60,96
2019-08-14,62,94
2019-08-15,59,95
2019-08-16,62,98
2019-08-17,54,83
2019-08-18,69,89
2019-08-19,65,92
2019-08-20,69,117
2019-08-21,68,114
2019-08-22,63,107
2019-08-23,77,98
2019-08-24,62,80
2019-08-25,59,66
2019-08-26,54,83
2019-08-27,105,119
2019-08-28,103,124
2019-08-29,87,133
2019-08-30,69,86
2019-08-31,77,96
2019-09-01,60,83
2019-09-02,72,85
2019-09-03,61,109
2019-09-04,80,99
2019-09-05,62,103
2019-09-06,74,102
2019-09-07,53,99
2019-09-08,57,81
2019-09-09,77,120
2019-09-10,70,98
2019-09-11,74,108
2019-09-12,61,77
2019-09-13,59,102
2019-09-14,60,79
2019-09-15,67,90
2019-09-16,46,100
2019-09-17,56,83
2019-09-18,58,88
2019-09-19,44,97
2019-09-20,64,92
2019-09-21,53,66
2019-09-22,81,90
2019-09-23,102,121
2019-09-24,66,114
2019-09-25,63,108
2019-09-26,79,89
2019-09-27,71,75
2019-09-28,57,90
2019-09-29,51,88
2019-09-30,63,90
2019-10-01,81,86
2019-10-02,52,68
2019-10-03,60,89
2019-10-04,69,116
2019-10-05,61,70
2019-10-06,63,86
2019-10-07,59,85
2019-10-08,62,86
2019-10-09,78,95
2019-10-10,73,134
2019-10-11,77,98
2019-10-12,75,81
2019-10-13,78,113
2019-10-14,79,119
2019-10-15,81,94
2019-10-16,57,105
2019-10-17,83,105
2019-10-18,87,103
2019-10-19,69,106
2019-10-20,55,97
2019-10-21,51,98
2019-10-22,72,91
2019-10-23,57,80
2019-10-24,47,82
2019-10-25,74,89
2019-10-26,46,89
2019-10-27,52,80
2019-10-28,68,81
2019-10-29,78,124
2019-10-30,76,106
2019-10-31,84,108
2019-11-01,71,112
2019-11-02,70,94
2019-11-03,62,89
2019-11-04,58,95
2019-11-05,74,84
2019-11-06,71,111
2019-11-07,74,92
2019-11-08,76,87
2019-11-09,50,77
2019-11-10,53,74
2019-11-11,54,100
2019-11-12,65,85
2019-11-13,68,80
2019-11-14,77,88
2019-11-15,77,87
2019-11-16,54,91
2019-11-17,68,113
2019-11-18,48,83
2019-11-19,105,106
2019-11-20,79,87
2019-11-21,63,101
2019-11-22,75,105
2019-11-23,59,85
2019-11-24,44,89
2019-11-25,53,110
2019-11-26,56,117
2019-11-27,79,122
2019-11-28,56,115
2019-11-29,57,99
2019-11-30,58,69
2019-12-01,80,76
2019-12-02,61,95
2019-12-03,62,111
2019-12-04,82,128
2019-12-05,80,110
2019-12-06,60,102
2019-12-07,79,87
2019-12-08,69,95
2019-12-09,73,100
2019-12-10,74,113
2019-12-11,68,108
2019-12-12,161,275
2019-12-13,331,524
2019-12-14,98,131
2019-12-15,72,112
2019-12-16,70,98
2019-12-17,63,148
2019-12-18,72,114
2019-12-19,85,109
2019-12-20,75,132
2019-12-21,51,78
2019-12-22,63,80
2019-12-23,60,91
2019-12-24,52,87
2019-12-25,37,64
2019-12-26,44,57
2019-12-27,57,82
2019-12-28,48,76
2019-12-29,71,81
2019-12-30,67,83
2019-12-31,76,108
2020-01-01,51,80
2020-01-02,43,97
2020-01-03,55,95
2020-01-04,58,98
2020-01-05,59,103
2020-01-06,59,85
2020-01-07,76,113
2020-01-08,75,117
2020-01-09,84,116
2020-01-10,72,119
2020-01-11,67,94
2020-01-12,74,72
2020-01-13,60,104
2020-01-14,66,91
2020-01-15,53,105
2020-01-16,77,124
2020-01-17,49,97
2020-01-18,50,92
2020-01-19,57,83
2020-01-20,80,95
2020-01-21,54,99
2020-01-22,82,109
2020-01-23,93,100
2020-01-24,77,104
2020-01-25,61,82
2020-01-26,88,136
2020-01-27,77,97
2020-01-28,86,117
2020-01-29,80,130
2020-01-30,92,174
2020-01-31,338,467
2020-02-01,120,165
2020-02-02,88,103
2020-02-03,58,100
2020-02-04,61,117
2020-02-05,86,88
2020-02-06,64,117
2020-02-07,72,89
2020-02-08,74,95
2020-02-09,63,100
2020-02-10,60,100
2020-02-11,61,76
2020-02-12,66,88
2020-02-13,63,92
2020-02-14,77,110
2020-02-15,112,307
2020-02-16,85,143
2020-02-17,80,134
2020-02-18,74,94
2020-02-19,73,94
2020-02-20,62,133
2020-02-21,89,133
2020-02-22,67,86
2020-02-23,75,93
2020-02-24,64,96
2020-02-25,71,118
2020-02-26,58,103
2020-02-27,78,101
2020-02-28,77,114
2020-02-29,54,74
2020-03-01,65,103
2020-03-02,68,74
2020-03-03,59,97
2020-03-04,78,76
2020-03-05,87,125
2020-03-06,80,98
2020-03-07,61,88
2020-03-08,78,116
2020-03-09,90,92
2020-03-10,83,115
2020-03-11,71,120
2020-03-12,90,140
2020-03-13,76,142
2020-03-14,70,123
2020-03-15,56,100
2020-03-16,94,191
2020-03-17,104,228
2020-03-18,122,266
2020-03-19,92,216
2020-03-20,141,257
2020-03-21,94,162
2020-03-22,82,157
2020-03-23,98,180
2020-03-24,95,150
2020-03-25,76,158
2020-03-26,82,139
2020-03-27,87,167
2020-03-28,96,125
2020-03-29,75,153
2020-03-30,93,129
2020-03-31,90,134
2020-04-01,125,175
2020-04-02,112,170
2020-04-03,101,171
2020-04-04,102,153
2020-04-05,89,134
2020-04-06,104,175
2020-04-07,85,120
2020-04-08,113,157
2020-04-09,98,158
2020-04-10,74,120
2020-04-11,92,127
2020-04-12,112,180
2020-04-13,70,143
2020-04-14,95,132
2020-04-15,101,155
2020-04-16,110,137
2020-04-17,98,164
2020-04-18,88,124
2020-04-19,86,136
2020-04-20,76,118
2020-04-21,98,117
2020-04-22,71,121
2020-04-23,91,112
2020-04-24,67,125
2020-04-25,75,111
2020-04-26,58,123
2020-04-27,82,155
2020-04-28,83,132
2020-04-29,92,162
2020-04-30,86,132
2020-05-01,93,157
2020-05-02,76,129
2020-05-03,73,132
2020-05-04,64,124
2020-05-05,79,149
2020-05-06,97,133
2020-05-07,83,156
2020-05-08,92,130
2020-05-09,74,117
2020-05-10,77,130
2020-05-11,88,183
2020-05-12,75,157
2020-05-13,77,146
2020-05-14,100,164
2020-05-15,108,132
2020-05-16,104,146
2020-05-17,70,128
2020-05-18,75,136
2020-05-19,87,138
2020-05-20,92,141
2020-05-21,67,124
2020-05-22,94,144
2020-05-23,84,150
2020-05-24,88,199
2020-05-25,97,134
2020-05-26,85,119
2020-05-27,76,138
2020-05-28,106,135
2020-05-29,87,124
2020-05-30,68,107
2020-05-31,98,93
2020-06-01,72,139
2020-06-02,94,126
2020-06-03,79,127
2020-06-04,89,118
2020-06-05,97,124
2020-06-06,98,127
2020-06-07,92,129
2020-06-08,82,128
2020-06-09,79,136
2020-06-10,91,131
2020-06-11,105,126
2020-06-12,103,130
2020-06-13,87,131
2020-06-14,83,117
2020-06-15,98,110
2020-06-16,97,143
2020-06-17,93,159
2020-06-18,91,133
2020-06-19,100,164
2020-06-20,76,105
2020-06-21,84,115
2020-06-22,94,115
2020-06-23,88,173
2020-06-24,113,135
2020-06-25,99,160
2020-06-26,88,160
2020-06-27,104,135
2020-06-28,89,114
2020-06-29,78,118
2020-06-30,95,143
2020-07-01,110,145
2020-07-02,92,133
2020-07-03,107,154
2020-07-04,73,101
2020-07-05,60,98
2020-07-06,89,123
2020-07-07,77,116
2020-07-08,80,103
2020-07-09,93,129
2020-07-10,82,122
2020-07-11,77,97
2020-07-12,62,98
2020-07-13,88,162
2020-07-14,87,151
2020-07-15,74,120
2020-07-16,81,148
2020-07-17,90,118
2020-07-18,78,98
2020-07-19,58,97
2020-07-20,77,101
2020-07-21,76,102
2020-07-22,94,125
2020-07-23,69,129
2020-07-24,90,125
2020-07-25,95,102
2020-07-26,86,103
2020-07-27,60,107
2020-07-28,67,98
2020-07-29,88,111
2020-07-30,90,117
2020-07-31,72,126
