day,male,female
2019-06-01,40604,23686
2019-06-02,39620,25288
2019-06-03,36671,24640
2019-06-04,38701,26227
2019-06-05,37265,25988
2019-06-06,39582,25492
2019-06-07,40949,25370
2019-06-08,37280,22528
2019-06-09,34160,22640
2019-06-10,34204,23793
2019-06-11,35493,23876
2019-06-12,38822,25414
2019-06-13,38146,25633
2019-06-14,35990,24280
2019-06-15,31945,19963
2019-06-16,35771,24280
2019-06-17,33289,23847
2019-06-18,39090,25648
2019-06-19,39217,24835
2019-06-20,37562,24976
2019-06-21,37343,23127
2019-06-22,30797,19462
2019-06-23,33143,22280
2019-06-24,35265,22640
2019-06-25,37703,24923
2019-06-26,35819,24081
2019-06-27,34077,22557
2019-06-28,33761,21219
2019-06-29,29235,19277
2019-06-30,32213,22528
2019-07-01,33469,21837
2019-07-02,42867,30106
2019-07-03,36467,27059
2019-07-04,36111,24455
2019-07-05,34875,21818
2019-07-06,30189,19189
2019-07-07,31434,22655
2019-07-08,32710,23088
2019-07-09,38759,27814
2019-07-10,40146,25375
2019-07-11,34647,21457
2019-07-12,28188,18304
2019-07-13,30680,20104
2019-07-14,37654,23068
2019-07-15,34330,21861
2019-07-16,33994,21710
2019-07-17,36141,22548
2019-07-18,36939,23195
2019-07-19,35669,23044
2019-07-20,30135,19053
2019-07-21,31196,20757
2019-07-22,33955,21331
2019-07-23,42098,26144
2019-07-24,42828,23944
2019-07-25,40117,24066
2019-07-26,36983,22664
2019-07-27,34793,20134
2019-07-28,33941,21078
2019-07-29,34262,23351
2019-07-30,36676,22343
2019-07-31,34569,22095
2019-08-01,36593,22567
2019-08-02,37552,21584
2019-08-03,34530,19735
2019-08-04,34301,21443
2019-08-05,35805,21798
2019-08-06,38803,23039
2019-08-07,40453,23560
2019-08-08,43640,23273
2019-08-09,39460,23560
2019-08-10,37844,21574
2019-08-11,35094,21428
2019-08-12,32393,21745
2019-08-13,34350,22489
2019-08-14,38394,24455
2019-08-15,38744,24017
2019-08-16,37382,24159
2019-08-17,38477,21477
2019-08-18,34768,21044
2019-08-19,35070,21589
2019-08-20,36175,22095
2019-08-21,36399,23224
2019-08-22,34666,23526
2019-08-23,35888,21555
2019-08-24,36812,19345
2019-08-25,33921,19559
2019-08-26,32393,20017
2019-08-27,39825,23647
2019-08-28,47948,26558
2019-08-29,41251,24441
2019-08-30,37158,21905
2019-08-31,40535,21730
2019-09-01,36934,21900
2019-09-02,37756,22358
2019-09-03,41421,24962
2019-09-04,42468,25390
2019-09-05,40613,24217
2019-09-06,40730,24217
2019-09-07,36871,20946
2019-09-08,33586,20956
2019-09-09,37026,23171
2019-09-10,36316,24178
2019-09-11,37893,24378
2019-09-12,34612,23536
2019-09-13,32447,22548
2019-09-14,35080,21102
2019-09-15,34442,21010
2019-09-16,34209,21477
2019-09-17,36890,22100
2019-09-18,37513,23224
2019-09-19,33994,22192
2019-09-20,32413,21311
2019-09-21,37917,19739
2019-09-22,40993,22256
2019-09-23,42346,26149
2019-09-24,52990,27848
2019-09-25,45397,25541
2019-09-26,42020,23793
2019-09-27,38160,22981
2019-09-28,36978,20635
2019-09-29,36087,22533
2019-09-30,36915,22489
2019-10-01,39036,22976
2019-10-02,32958,20469
2019-10-03,36092,22475
2019-10-04,34554,22504
2019-10-05,37625,21628
2019-10-06,39489,22153
2019-10-07,35927,22679
2019-10-08,38272,23166
2019-10-09,36111,23059
2019-10-10,38852,27794
2019-10-11,35231,23828
2019-10-12,32534,20440
2019-10-13,33829,22290
2019-10-14,35688,23531
2019-10-15,33600,22757
2019-10-16,35425,22650
2019-10-17,39552,24056
2019-10-18,37250,24095
2019-10-19,43164,23472
2019-10-20,39684,22791
2019-10-21,35683,22591
2019-10-22,38345,23015
2019-10-23,35795,24163
2019-10-24,37503,23360
2019-10-25,36958,22830
2019-10-26,36228,21535
2019-10-27,38005,22445
2019-10-28,33542,21886
2019-10-29,39114,23287
2019-10-30,41752,24626
2019-10-31,37776,22664
2019-11-01,36146,23550
2019-11-02,45101,22674
2019-11-03,39100,22796
2019-11-04,34340,22718
2019-11-05,40297,24850
2019-11-06,39518,24937
2019-11-07,37304,23258
2019-11-08,34355,21988
2019-11-09,37985,22329
2019-11-10,37421,21642
2019-11-11,34398,21769
2019-11-12,35839,21871
2019-11-13,35396,23195
2019-11-14,37649,25555
2019-11-15,36131,22421
2019-11-16,32622,21136
2019-11-17,32014,22007
2019-11-18,31726,21263
2019-11-19,42244,25249
2019-11-20,37776,23740
2019-11-21,37489,24202
2019-11-22,38905,24791
2019-11-23,40127,22689
2019-11-24,38029,23020
2019-11-25,37421,23813
2019-11-26,39319,24426
2019-11-27,42808,27366
2019-11-28,41616,25346
2019-11-29,39212,23424
2019-11-30,35299,21282
2019-12-01,38993,23414
2019-12-02,35815,23180
2019-12-03,36009,23720
2019-12-04,41908,24489
2019-12-05,40540,25473
2019-12-06,39752,25132
2019-12-07,40827,22864
2019-12-08,38701,24577
2019-12-09,43261,25254
2019-12-10,43378,25940
2019-12-11,42643,26461
2019-12-12,64232,41499
2019-12-13,86342,51744
2019-12-14,50147,26821
2019-12-15,47821,25740
2019-12-16,38837,23536
2019-12-17,39343,25424
2019-12-18,40258,25244
2019-12-19,39528,25429
2019-12-20,36749,23920
2019-12-21,35863,20314
