day,male,female
2019-06-01,26,43
2019-06-02,28,38
2019-06-03,25,45
2019-06-04,27,59
2019-06-05,40,52
2019-06-06,37,48
2019-06-07,31,39
2019-06-08,24,34
2019-06-09,32,34
2019-06-10,32,35
2019-06-11,38,49
2019-06-12,30,52
2019-06-13,48,47
2019-06-14,29,42
2019-06-15,29,42
2019-06-16,29,38
2019-06-17,36,46
2019-06-18,41,60
2019-06-19,34,49
2019-06-20,36,48
2019-06-21,43,42
2019-06-22,23,49
2019-06-23,34,32
2019-06-24,20,41
2019-06-25,30,47
2019-06-26,30,43
2019-06-27,32,40
2019-06-28,34,29
2019-06-29,18,25
2019-06-30,37,51
2019-07-01,35,46
2019-07-02,29,56
2019-07-03,42,42
2019-07-04,35,42
2019-07-05,27,29
2019-07-06,25,30
2019-07-07,20,31
2019-07-08,27,39
2019-07-09,25,36
2019-07-10,25,30
2019-07-11,29,49
2019-07-12,26,28
2019-07-13,25,33
2019-07-14,30,31
2019-07-15,25,26
2019-07-16,36,49
2019-07-17,41,44
2019-07-18,46,63
2019-07-19,35,45
2019-07-20,29,35
2019-07-21,31,25
2019-07-22,26,45
2019-07-23,60,79
2019-07-24,57,71
2019-07-25,36,44
2019-07-26,23,57
2019-07-27,21,45
2019-07-28,37,39
2019-07-29,21,31
2019-07-30,35,39
2019-07-31,36,37
2019-08-01,24,37
2019-08-02,28,28
2019-08-03,33,32
2019-08-04,28,46
2019-08-05,29,50
2019-08-06,32,47
2019-08-07,24,47
2019-08-08,37,55
2019-08-09,28,52
2019-08-10,33,34
2019-08-11,25,33
2019-08-12,29,44
2019-08-13,31,50
2019-08-14,26,42
2019-08-15,36,48
2019-08-16,35,50
2019-08-17,22,31
2019-08-18,40,37
2019-08-19,36,42
2019-08-20,28,59
2019-08-21,24,42
2019-08-22,33,37
2019-08-23,29,51
2019-08-24,31,34
2019-08-25,27,38
2019-08-26,26,48
2019-08-27,38,52
2019-08-28,61,93
2019-08-29,49,64
2019-08-30,42,45
2019-08-31,33,45
2019-09-01,31,39
2019-09-02,40,53
2019-09-03,34,56
2019-09-04,29,51
2019-09-05,32,46
2019-09-06,32,40
2019-09-07,29,46
2019-09-08,29,54
2019-09-09,42,51
2019-09-10,35,48
2019-09-11,29,55
2019-09-12,32,37
2019-09-13,28,38
2019-09-14,28,35
2019-09-15,37,54
2019-09-16,23,44
2019-09-17,31,34
2019-09-18,34,38
2019-09-19,31,49
2019-09-20,38,40
2019-09-21,26,41
2019-09-22,29,41
2019-09-23,43,51
2019-09-24,49,56
2019-09-25,47,50
2019-09-26,62,59
2019-09-27,40,48
2019-09-28,22,39
2019-09-29,30,47
2019-09-30,35,42
2019-10-01,32,47
2019-10-02,26,34
2019-10-03,29,37
2019-10-04,33,38
2019-10-05,28,26
2019-10-06,25,44
2019-10-07,25,44
2019-10-08,34,49
2019-10-09,30,48
2019-10-10,30,55
2019-10-11,39,42
2019-10-12,24,33
2019-10-13,22,46
2019-10-14,27,56
2019-10-15,38,42
2019-10-16,38,36
2019-10-17,30,44
2019-10-18,30,36
2019-10-19,35,40
2019-10-20,26,42
2019-10-21,24,43
2019-10-22,31,52
2019-10-23,28,43
2019-10-24,25,46
2019-10-25,37,41
2019-10-26,28,38
2019-10-27,33,37
2019-10-28,20,60
2019-10-29,43,48
2019-10-30,34,38
2019-10-31,60,62
2019-11-01,44,37
2019-11-02,34,37
2019-11-03,22,44
2019-11-04,26,42
2019-11-05,43,51
2019-11-06,44,36
2019-11-07,35,43
2019-11-08,35,27
2019-11-09,38,28
2019-11-10,28,27
2019-11-11,35,48
2019-11-12,35,47
2019-11-13,29,51
2019-11-14,28,49
2019-11-15,27,44
2019-11-16,13,31
2019-11-17,24,35
2019-11-18,31,31
2019-11-19,40,41
2019-11-20,33,40
2019-11-21,36,45
2019-11-22,28,42
2019-11-23,31,42
2019-11-24,35,26
2019-11-25,38,46
2019-11-26,36,56
2019-11-27,43,41
2019-11-28,41,49
2019-11-29,45,40
2019-11-30,34,39
2019-12-01,40,39
2019-12-02,27,38
2019-12-03,32,45
2019-12-04,42,49
2019-12-05,45,42
2019-12-06,43,60
2019-12-07,42,46
2019-12-08,32,60
2019-12-09,40,54
2019-12-10,52,68
2019-12-11,59,87
2019-12-12,164,261
2019-12-13,143,257
2019-12-14,33,51
2019-12-15,36,46
2019-12-16,31,28
2019-12-17,41,56
