day,male,female
2019-06-01,11,18
2019-06-02,8,17
2019-06-03,11,29
2019-06-04,14,19
2019-06-05,13,24
2019-06-06,4,22
2019-06-07,10,19
2019-06-08,3,14
2019-06-09,6,19
2019-06-10,14,19
2019-06-11,8,19
2019-06-12,7,14
2019-06-13,12,26
2019-06-14,13,10
2019-06-15,5,3
2019-06-16,5,8
2019-06-17,4,22
2019-06-18,11,25
2019-06-19,5,22
2019-06-20,7,15
2019-06-21,7,17
2019-06-22,6,11
2019-06-23,9,18
2019-06-24,7,18
2019-06-25,10,18
2019-06-26,9,13
2019-06-27,7,16
2019-06-28,2,23
2019-06-29,4,14
2019-06-30,12,6
2019-07-01,7,23
2019-07-02,15,49
2019-07-03,15,16
2019-07-04,8,20
2019-07-05,5,15
2019-07-06,9,17
2019-07-07,4,14
2019-07-08,12,17
2019-07-09,8,18
2019-07-10,9,23
2019-07-11,9,16
2019-07-12,6,28
2019-07-13,5,15
2019-07-14,24,48
2019-07-15,6,27
2019-07-16,7,20
2019-07-17,6,17
2019-07-18,7,17
2019-07-19,5,15
2019-07-20,10,9
2019-07-21,6,11
2019-07-22,5,15
2019-07-23,4,17
2019-07-24,5,7
2019-07-25,7,10
2019-07-26,5,7
2019-07-27,4,11
2019-07-28,6,10
2019-07-29,3,14
2019-07-30,5,14
2019-07-31,7,20
2019-08-01,11,21
2019-08-02,5,11
2019-08-03,4,15
2019-08-04,3,12
2019-08-05,5,18
2019-08-06,4,23
2019-08-07,3,13
2019-08-08,13,18
2019-08-09,6,19
2019-08-10,8,15
2019-08-11,11,15
2019-08-12,9,20
2019-08-13,11,15
2019-08-14,7,24
2019-08-15,11,22
2019-08-16,7,18
2019-08-17,7,12
2019-08-18,6,13
2019-08-19,4,14
2019-08-20,15,16
2019-08-21,11,25
2019-08-22,6,21
2019-08-23,7,24
2019-08-24,9,9
2019-08-25,8,12
2019-08-26,7,12
2019-08-27,4,21
2019-08-28,9,30
2019-08-29,6,22
2019-08-30,8,26
2019-08-31,7,12
2019-09-01,7,14
2019-09-02,9,28
2019-09-03,7,25
2019-09-04,9,15
2019-09-05,7,20
2019-09-06,7,12
2019-09-07,9,12
2019-09-08,6,20
2019-09-09,6,14
2019-09-10,7,21
2019-09-11,12,21
2019-09-12,5,16
2019-09-13,5,21
2019-09-14,8,10
2019-09-15,6,14
2019-09-16,5,17
2019-09-17,7,30
2019-09-18,12,17
2019-09-19,9,16
2019-09-20,9,16
2019-09-21,2,26
2019-09-22,14,20
2019-09-23,12,17
2019-09-24,12,17
2019-09-25,7,25
2019-09-26,11,18
2019-09-27,11,17
2019-09-28,5,18
2019-09-29,5,10
2019-09-30,10,19
2019-10-01,4,19
2019-10-02,7,19
2019-10-03,8,16
2019-10-04,4,17
2019-10-05,5,10
2019-10-06,3,18
2019-10-07,10,21
2019-10-08,10,14
2019-10-09,12,24
2019-10-10,10,30
2019-10-11,11,17
2019-10-12,10,17
2019-10-13,7,18
2019-10-14,6,21
2019-10-15,10,13
2019-10-16,5,14
2019-10-17,8,14
2019-10-18,7,16
2019-10-19,8,9
2019-10-20,6,12
2019-10-21,7,20
2019-10-22,4,18
2019-10-23,5,17
2019-10-24,12,15
2019-10-25,8,13
2019-10-26,8,10
2019-10-27,7,18
2019-10-28,8,18
2019-10-29,7,21
2019-10-30,9,16
2019-10-31,13,18
2019-11-01,6,27
2019-11-02,6,13
2019-11-03,4,16
2019-11-04,8,19
2019-11-05,4,12
2019-11-06,17,34
2019-11-07,9,22
2019-11-08,7,18
2019-11-09,3,8
2019-11-10,8,21
2019-11-11,15,20
2019-11-12,10,19
2019-11-13,6,23
2019-11-14,3,27
2019-11-15,8,16
2019-11-16,8,15
2019-11-17,3,18
2019-11-18,7,29
2019-11-19,10,14
2019-11-20,10,24
2019-11-21,9,18
2019-11-22,9,19
