day,male,female
2019-06-01,695486,377639
2019-06-02,614989,367867
2019-06-03,634451,407619
2019-06-04,649440,424099
2019-06-05,641739,411262
2019-06-06,683229,396935
2019-06-07,663271,411262
2019-06-08,586418,351304
2019-06-09,595196,355693
2019-06-10,593623,372173
2019-06-11,630559,390890
2019-06-12,645217,400414
2019-06-13,677681,424182
2019-06-14,656811,396935
2019-06-15,568944,328198
2019-06-16,592132,375817
2019-06-17,566956,363975
2019-06-18,663602,402981
2019-06-19,653913,396687
2019-06-20,636604,403229
2019-06-21,670807,403726
2019-06-22,566211,336728
2019-06-23,573250,349068
2019-06-24,622774,374327
2019-06-25,658302,398343
2019-06-26,616563,370766
2019-06-27,621200,386086
2019-06-28,622691,373250
2019-06-29,580869,336149
2019-06-30,569440,336563
2019-07-01,580372,360993
2019-07-02,729192,434699
2019-07-03,649358,409275
2019-07-04,659213,394037
2019-07-05,635610,368861
2019-07-06,569109,333498
2019-07-07,549068,333167
2019-07-08,579544,353043
2019-07-09,644803,379544
2019-07-10,655320,382443
2019-07-11,597598,345672
2019-07-12,509648,298219
2019-07-13,565548,315196
2019-07-14,712960,383768
2019-07-15,590724,349648
2019-07-16,613581,356190
2019-07-17,639503,376894
2019-07-18,639751,376645
2019-07-19,626583,371511
2019-07-20,568198,319585
2019-07-21,544927,316190
2019-07-22,588322,349730
2019-07-23,719917,416397
2019-07-24,684803,392298
2019-07-25,730766,418136
2019-07-26,641573,376231
2019-07-27,603726,318426
2019-07-28,563561,335983
2019-07-29,599254,354616
2019-07-30,619296,356107
2019-07-31,625341,342360
2019-08-01,651842,371759
2019-08-02,656811,360331
2019-08-03,586335,318757
2019-08-04,611262,320745
2019-08-05,598095,342194
2019-08-06,638012,352629
2019-08-07,675527,359917
2019-08-08,746832,379958
2019-08-09,689440,371262
2019-08-10,669896,338633
2019-08-11,610269,339792
2019-08-12,548819,346997
2019-08-13,596935,346335
2019-08-14,648861,368281
2019-08-15,638426,369026
2019-08-16,643726,367701
2019-08-17,634037,318260
2019-08-18,592960,336728
2019-08-19,597846,347908
2019-08-20,605879,352629
2019-08-21,619710,369192
2019-08-22,619378,359834
2019-08-23,637018,358343
2019-08-24,636604,312712
2019-08-25,616728,303354
2019-08-26,553043,326625
2019-08-27,608530,353291
2019-08-28,735817,412670
2019-08-29,666583,386252
2019-08-30,641407,373416
2019-08-31,676438,345921
2019-09-01,636521,358509
2019-09-02,621283,357349
2019-09-03,673043,381614
2019-09-04,685217,394451
2019-09-05,653498,380703
2019-09-06,664182,375983
2019-09-07,613830,332836
2019-09-08,584927,325051
2019-09-09,603975,361739
2019-09-10,605051,359420
2019-09-11,634368,361325
2019-09-12,596521,363064
2019-09-13,609026,372919
2019-09-14,607619,336563
2019-09-15,591884,325051
2019-09-16,582525,341780
2019-09-17,619958,356687
2019-09-18,617639,371925
2019-09-19,619130,355859
2019-09-20,615652,360910
2019-09-21,654575,340952
2019-09-22,660952,353043
2019-09-23,639999,372173
2019-09-24,786832,423933
2019-09-25,707163,398260
2019-09-26,658550,380289
2019-09-27,662608,372505
2019-09-28,642815,331180
2019-09-29,612587,364886
2019-09-30,640910,340869
2019-10-01,661283,377722
2019-10-02,582360,333002
2019-10-03,608861,368612
2019-10-04,610931,368447
2019-10-05,660455,336811
2019-10-06,638426,342608
2019-10-07,591304,346832
2019-10-08,621780,360745
2019-10-09,610683,379130
2019-10-10,629482,391552
2019-10-11,646542,385175
2019-10-12,581200,347163
2019-10-13,573084,348240
2019-10-14,604554,357432
2019-10-15,578799,348240
2019-10-16,592795,366128
2019-10-17,659875,392049
2019-10-18,627908,372753
2019-10-19,709565,354948
2019-10-20,650766,342774
2019-10-21,595362,351718
2019-10-22,641987,351884
2019-10-23,610517,356853
2019-10-24,625838,369275
2019-10-25,615900,367039
2019-10-26,663354,346418
2019-10-27,613995,347660
2019-10-28,558757,333747
2019-10-29,630144,372919
2019-10-30,678012,381780
2019-10-31,654161,381200
2019-11-01,623354,377474
2019-11-02,715031,361821
2019-11-03,631387,354534
2019-11-04,588571,365217
2019-11-05,654989,388488
2019-11-06,652091,378881
2019-11-07,650186,381283
2019-11-08,626169,373581
2019-11-09,642650,352629
2019-11-10,637515,346086
2019-11-11,583685,349316
2019-11-12,603726,363229
2019-11-13,620207,381614
2019-11-14,655734,388405
2019-11-15,647287,385010
2019-11-16,598757,330683
2019-11-17,576480,352877
2019-11-18,554368,357184
2019-11-19,719171,411677
2019-11-20,648861,377225
2019-11-21,656728,392049
2019-11-22,666169,391304
2019-11-23,689772,352132
2019-11-24,646708,352546
2019-11-25,623519,371759
2019-11-26,662360,378964
2019-11-27,695569,392795
2019-11-28,679917,402484
2019-11-29,680414,407122
2019-11-30,623519,348488
2019-12-01,641904,369358
2019-12-02,586335,366873
2019-12-03,640662,387826
2019-12-04,690103,404803
2019-12-05,679006,407867
2019-12-06,666169,400165
2019-12-07,680496,345590
2019-12-08,617805,369275
2019-12-09,654244,384844
2019-12-10,683643,398095
2019-12-11,694575,416149
2019-12-12,948571,551469
2019-12-13,951552,540455
2019-12-14,683146,353291
2019-12-15,669482,363975
2019-12-16,605217,353043
2019-12-17,624679,371180
2019-12-18,632380,369275
2019-12-19,616645,374658
2019-12-20,609689,357101
2019-12-21,610269,323395
2019-12-22,578219,315693
2019-12-23,544016,322484
2019-12-24,581035,338302
2019-12-25,488198,306501
2019-12-26,529026,268985
2019-12-27,519089,285300
2019-12-28,567370,295652
2019-12-29,675693,323146
2019-12-30,566542,327701
2019-12-31,627743,378053
2020-01-01,701200,385921
2020-01-02,566873,327039
2020-01-03,606045,341449
2020-01-04,613333,325631
2020-01-05,635113,362401
2020-01-06,601656,345341
2020-01-07,617474,351884
2020-01-08,617391,369026
2020-01-09,638674,358012
2020-01-10,651759,364472
2020-01-11,689358,342939
2020-01-12,633457,349979
2020-01-13,609523,354202
2020-01-14,644057,377556
2020-01-15,632132,372008
2020-01-16,618881,376480
2020-01-17,631221,373747
2020-01-18,662525,333167
2020-01-19,652173,343519
2020-01-20,585010,357681
2020-01-21,642236,363809
2020-01-22,679834,364968
2020-01-23,651345,366045
2020-01-24,638840,375734
2020-01-25,593706,323809
2020-01-26,632380,343850
2020-01-27,593291,355693
2020-01-28,676024,372091
2020-01-29,701614,379710
2020-01-30,647536,384430
2020-01-31,815983,433457
2020-02-01,720248,365465
2020-02-02,651428,366956
2020-02-03,584927,355196
2020-02-04,624265,372173
2020-02-05,603146,370351
2020-02-06,611677,372505
2020-02-07,589896,352463
2020-02-08,635031,331759
2020-02-09,623105,369026
2020-02-10,590807,359171
2020-02-11,623602,365300
2020-02-12,632132,363892
2020-02-13,630144,366542
2020-02-14,680414,402070
2020-02-15,664844,368281
2020-02-16,618550,355610
2020-02-17,620041,369026
2020-02-18,620869,391304
2020-02-19,648530,377060
2020-02-20,631221,384844
2020-02-21,616314,373250
2020-02-22,660703,343271
2020-02-23,633540,353706
2020-02-24,578550,363064
2020-02-25,614409,361987
2020-02-26,625838,364886
2020-02-27,646790,375320
2020-02-28,643229,362153
2020-02-29,692091,339792
2020-03-01,626501,338799
2020-03-02,585341,347826
2020-03-03,623685,367370
2020-03-04,648530,368364
2020-03-05,634451,394037
2020-03-06,595942,377805
2020-03-07,629813,334161
2020-03-08,630890,384844
2020-03-09,583850,347577
2020-03-10,617639,369440
2020-03-11,676604,388819
2020-03-12,746252,421449
2020-03-13,762318,438426
2020-03-14,705507,416397
2020-03-15,692091,420538
2020-03-16,728861,469482
2020-03-17,790393,520165
2020-03-18,833788,568612
2020-03-19,818550,561490
2020-03-20,895817,571759
2020-03-21,806625,506832
2020-03-22,813995,508819
2020-03-23,923064,572091
2020-03-24,884720,552380
2020-03-25,861200,532422
2020-03-26,916604,591469
2020-03-27,895569,561656
2020-03-28,865175,511801
2020-03-29,782691,484554
2020-03-30,793126,515610
2020-03-31,805714,515279
2020-04-01,828405,525051
2020-04-02,860372,546583
2020-04-03,885548,554865
2020-04-04,879585,502360
2020-04-05,875031,508074
